"date","ID_2","NAME_2","t2m"
"2013-01-01",1,"Burera",15.34
"2013-01-01",2,"Gakenke",15.34
"2013-01-01",3,"Gicumbi",16.23
"2013-01-01",4,"Musanze",14.56
"2013-01-01",5,"Rulindo",16.02
"2013-01-01",6,"Gisagara",17.87
"2013-01-01",7,"Huye",17.69
"2013-01-01",8,"Kamonyi",16.38
"2013-01-01",9,"Muhanga",15.66
"2013-01-01",10,"Nyamagabe",15.87
"2013-01-01",11,"Nyanza",17.14
"2013-01-01",12,"Nyaruguru",16.22
"2013-01-01",13,"Ruhango",16.8
"2013-01-01",14,"Bugesera",17.71
"2013-01-01",15,"Gatsibo",17.53
"2013-01-01",16,"Kayonza",18.1
"2013-01-01",17,"Kirehe",17.75
"2013-01-01",18,"Ngoma",17.89
"2013-01-01",19,"Nyagatare",17.46
"2013-01-01",20,"Rwamagana",17.73
"2013-01-01",21,"Karongi",16.65
"2013-01-01",22,"Ngororero",15
"2013-01-01",23,"Nyabihu",14.3
"2013-01-01",24,"Nyamasheke",17.34
"2013-01-01",25,"Rubavu",16.44
"2013-01-01",26,"Rusizi",17.65
"2013-01-01",27,"Rutsiro",17.05
"2013-01-01",28,"Gasabo",16.91
"2013-01-01",29,"Kicukiro",17.12
"2013-01-01",30,"Nyarugenge",16.64
"2013-01-02",1,"Burera",14.86
"2013-01-02",2,"Gakenke",14.87
"2013-01-02",3,"Gicumbi",16.52
"2013-01-02",4,"Musanze",13.66
"2013-01-02",5,"Rulindo",15.92
"2013-01-02",6,"Gisagara",17.97
"2013-01-02",7,"Huye",17.24
"2013-01-02",8,"Kamonyi",16.99
"2013-01-02",9,"Muhanga",15.57
"2013-01-02",10,"Nyamagabe",15.15
"2013-01-02",11,"Nyanza",17.57
"2013-01-02",12,"Nyaruguru",15.61
"2013-01-02",13,"Ruhango",17.14
"2013-01-02",14,"Bugesera",19.85
"2013-01-02",15,"Gatsibo",18.6
"2013-01-02",16,"Kayonza",19.52
"2013-01-02",17,"Kirehe",19.12
"2013-01-02",18,"Ngoma",20.22
"2013-01-02",19,"Nyagatare",18.29
"2013-01-02",20,"Rwamagana",19.71
"2013-01-02",21,"Karongi",16.3
"2013-01-02",22,"Ngororero",14.04
"2013-01-02",23,"Nyabihu",13.11
"2013-01-02",24,"Nyamasheke",17.1
"2013-01-02",25,"Rubavu",16.25
"2013-01-02",26,"Rusizi",16.95
"2013-01-02",27,"Rutsiro",16.91
"2013-01-02",28,"Gasabo",17.93
"2013-01-02",29,"Kicukiro",18.59
"2013-01-02",30,"Nyarugenge",17.47
"2013-01-03",1,"Burera",15.5
"2013-01-03",2,"Gakenke",15.63
"2013-01-03",3,"Gicumbi",16.9
"2013-01-03",4,"Musanze",14.32
"2013-01-03",5,"Rulindo",17.13
"2013-01-03",6,"Gisagara",19.25
"2013-01-03",7,"Huye",19.18
"2013-01-03",8,"Kamonyi",18.48
"2013-01-03",9,"Muhanga",17.28
"2013-01-03",10,"Nyamagabe",15.53
"2013-01-03",11,"Nyanza",19.24
"2013-01-03",12,"Nyaruguru",15.77
"2013-01-03",13,"Ruhango",19.01
"2013-01-03",14,"Bugesera",19.07
"2013-01-03",15,"Gatsibo",18.01
"2013-01-03",16,"Kayonza",18.38
"2013-01-03",17,"Kirehe",18.31
"2013-01-03",18,"Ngoma",18.51
"2013-01-03",19,"Nyagatare",17.49
"2013-01-03",20,"Rwamagana",18.43
"2013-01-03",21,"Karongi",16.81
"2013-01-03",22,"Ngororero",14.57
"2013-01-03",23,"Nyabihu",13.48
"2013-01-03",24,"Nyamasheke",17.05
"2013-01-03",25,"Rubavu",16.41
"2013-01-03",26,"Rusizi",16.42
"2013-01-03",27,"Rutsiro",17.27
"2013-01-03",28,"Gasabo",18.17
"2013-01-03",29,"Kicukiro",18.53
"2013-01-03",30,"Nyarugenge",18.74
"2013-01-04",1,"Burera",15.9
"2013-01-04",2,"Gakenke",15.48
"2013-01-04",3,"Gicumbi",17.07
"2013-01-04",4,"Musanze",14.58
"2013-01-04",5,"Rulindo",16.74
"2013-01-04",6,"Gisagara",17.37
"2013-01-04",7,"Huye",16.7
"2013-01-04",8,"Kamonyi",16.78
"2013-01-04",9,"Muhanga",15.58
"2013-01-04",10,"Nyamagabe",15.17
"2013-01-04",11,"Nyanza",16.92
"2013-01-04",12,"Nyaruguru",15.46
"2013-01-04",13,"Ruhango",16.57
"2013-01-04",14,"Bugesera",18.69
"2013-01-04",15,"Gatsibo",18.71
"2013-01-04",16,"Kayonza",19.09
"2013-01-04",17,"Kirehe",18.42
"2013-01-04",18,"Ngoma",18.91
"2013-01-04",19,"Nyagatare",18.41
"2013-01-04",20,"Rwamagana",18.78
"2013-01-04",21,"Karongi",16.9
"2013-01-04",22,"Ngororero",14.56
"2013-01-04",23,"Nyabihu",13.81
"2013-01-04",24,"Nyamasheke",17.56
"2013-01-04",25,"Rubavu",16.67
"2013-01-04",26,"Rusizi",17
"2013-01-04",27,"Rutsiro",17.67
"2013-01-04",28,"Gasabo",17.77
"2013-01-04",29,"Kicukiro",17.98
"2013-01-04",30,"Nyarugenge",17.29
"2013-01-05",1,"Burera",15.23
"2013-01-05",2,"Gakenke",14.97
"2013-01-05",3,"Gicumbi",17.4
"2013-01-05",4,"Musanze",14.14
"2013-01-05",5,"Rulindo",17.23
"2013-01-05",6,"Gisagara",16.58
"2013-01-05",7,"Huye",15.64
"2013-01-05",8,"Kamonyi",16.29
"2013-01-05",9,"Muhanga",14.53
"2013-01-05",10,"Nyamagabe",14.25
"2013-01-05",11,"Nyanza",15.63
"2013-01-05",12,"Nyaruguru",14.86
"2013-01-05",13,"Ruhango",15.22
"2013-01-05",14,"Bugesera",18.17
"2013-01-05",15,"Gatsibo",19.02
"2013-01-05",16,"Kayonza",19.35
"2013-01-05",17,"Kirehe",18.75
"2013-01-05",18,"Ngoma",19
"2013-01-05",19,"Nyagatare",18.76
"2013-01-05",20,"Rwamagana",19.18
"2013-01-05",21,"Karongi",16.12
"2013-01-05",22,"Ngororero",13.71
"2013-01-05",23,"Nyabihu",13.4
"2013-01-05",24,"Nyamasheke",17.09
"2013-01-05",25,"Rubavu",16.4
"2013-01-05",26,"Rusizi",16.65
"2013-01-05",27,"Rutsiro",17.18
"2013-01-05",28,"Gasabo",18.27
"2013-01-05",29,"Kicukiro",18.34
"2013-01-05",30,"Nyarugenge",17.34
"2013-01-06",1,"Burera",14.18
"2013-01-06",2,"Gakenke",13.79
"2013-01-06",3,"Gicumbi",14.36
"2013-01-06",4,"Musanze",12.76
"2013-01-06",5,"Rulindo",14.18
"2013-01-06",6,"Gisagara",15.46
"2013-01-06",7,"Huye",14.52
"2013-01-06",8,"Kamonyi",15.06
"2013-01-06",9,"Muhanga",13.92
"2013-01-06",10,"Nyamagabe",12.94
"2013-01-06",11,"Nyanza",15.16
"2013-01-06",12,"Nyaruguru",13.25
"2013-01-06",13,"Ruhango",14.81
"2013-01-06",14,"Bugesera",17.45
"2013-01-06",15,"Gatsibo",15.86
"2013-01-06",16,"Kayonza",16.87
"2013-01-06",17,"Kirehe",16.27
"2013-01-06",18,"Ngoma",17.21
"2013-01-06",19,"Nyagatare",16.26
"2013-01-06",20,"Rwamagana",16.81
"2013-01-06",21,"Karongi",16.04
"2013-01-06",22,"Ngororero",13.9
"2013-01-06",23,"Nyabihu",12.52
"2013-01-06",24,"Nyamasheke",15.52
"2013-01-06",25,"Rubavu",15.49
"2013-01-06",26,"Rusizi",14.5
"2013-01-06",27,"Rutsiro",17.22
"2013-01-06",28,"Gasabo",15.52
"2013-01-06",29,"Kicukiro",16.07
"2013-01-06",30,"Nyarugenge",15.45
"2013-01-07",1,"Burera",14.09
"2013-01-07",2,"Gakenke",13.73
"2013-01-07",3,"Gicumbi",14.91
"2013-01-07",4,"Musanze",13.02
"2013-01-07",5,"Rulindo",14.7
"2013-01-07",6,"Gisagara",16.28
"2013-01-07",7,"Huye",15.68
"2013-01-07",8,"Kamonyi",15.14
"2013-01-07",9,"Muhanga",14.07
"2013-01-07",10,"Nyamagabe",13.75
"2013-01-07",11,"Nyanza",15.68
"2013-01-07",12,"Nyaruguru",14.18
"2013-01-07",13,"Ruhango",15.31
"2013-01-07",14,"Bugesera",16.99
"2013-01-07",15,"Gatsibo",16.14
"2013-01-07",16,"Kayonza",16.87
"2013-01-07",17,"Kirehe",16.73
"2013-01-07",18,"Ngoma",16.99
"2013-01-07",19,"Nyagatare",15.76
"2013-01-07",20,"Rwamagana",16.67
"2013-01-07",21,"Karongi",15.83
"2013-01-07",22,"Ngororero",13.18
"2013-01-07",23,"Nyabihu",12.41
"2013-01-07",24,"Nyamasheke",16.25
"2013-01-07",25,"Rubavu",15.45
"2013-01-07",26,"Rusizi",15.73
"2013-01-07",27,"Rutsiro",16.74
"2013-01-07",28,"Gasabo",15.77
"2013-01-07",29,"Kicukiro",16.04
"2013-01-07",30,"Nyarugenge",15.51
"2013-01-08",1,"Burera",14.57
"2013-01-08",2,"Gakenke",14.33
"2013-01-08",3,"Gicumbi",15.89
"2013-01-08",4,"Musanze",13.84
"2013-01-08",5,"Rulindo",15.48
"2013-01-08",6,"Gisagara",16.92
"2013-01-08",7,"Huye",16.3
"2013-01-08",8,"Kamonyi",15.7
"2013-01-08",9,"Muhanga",14.53
"2013-01-08",10,"Nyamagabe",15.16
"2013-01-08",11,"Nyanza",16.23
"2013-01-08",12,"Nyaruguru",15.51
"2013-01-08",13,"Ruhango",15.84
"2013-01-08",14,"Bugesera",17.77
"2013-01-08",15,"Gatsibo",18.14
"2013-01-08",16,"Kayonza",19.16
"2013-01-08",17,"Kirehe",17.52
"2013-01-08",18,"Ngoma",17.94
"2013-01-08",19,"Nyagatare",17.4
"2013-01-08",20,"Rwamagana",18.03
"2013-01-08",21,"Karongi",16.69
"2013-01-08",22,"Ngororero",13.96
"2013-01-08",23,"Nyabihu",13.24
"2013-01-08",24,"Nyamasheke",17.33
"2013-01-08",25,"Rubavu",16.15
"2013-01-08",26,"Rusizi",17.1
"2013-01-08",27,"Rutsiro",17.2
