"date","ID_0","NAME_0","t2m"
"2004-01-01",1,"Sierra Leone",23.06
"2004-01-02",1,"Sierra Leone",24.03
"2004-01-03",1,"Sierra Leone",23.42
"2004-01-04",1,"Sierra Leone",23.35
"2004-01-05",1,"Sierra Leone",23.13
"2004-01-06",1,"Sierra Leone",24.38
"2004-01-07",1,"Sierra Leone",24.32
"2004-01-08",1,"Sierra Leone",24.74
"2004-01-09",1,"Sierra Leone",24.82
"2004-01-10",1,"Sierra Leone",25.93
"2004-01-11",1,"Sierra Leone",23.91
"2004-01-12",1,"Sierra Leone",23.34
"2004-01-13",1,"Sierra Leone",23.72
"2004-01-14",1,"Sierra Leone",23.96
"2004-01-15",1,"Sierra Leone",24.27
"2004-01-16",1,"Sierra Leone",24.54
"2004-01-17",1,"Sierra Leone",23.87
"2004-01-18",1,"Sierra Leone",24.76
"2004-01-19",1,"Sierra Leone",25.01
"2004-01-20",1,"Sierra Leone",24.56
"2004-01-21",1,"Sierra Leone",23.12
"2004-01-22",1,"Sierra Leone",24.42
"2004-01-23",1,"Sierra Leone",24.41
"2004-01-24",1,"Sierra Leone",25.06
"2004-01-25",1,"Sierra Leone",24.93
"2004-01-26",1,"Sierra Leone",24.83
"2004-01-27",1,"Sierra Leone",24.05
"2004-01-28",1,"Sierra Leone",24.74
"2004-01-29",1,"Sierra Leone",24.77
"2004-01-30",1,"Sierra Leone",24.2
"2004-01-31",1,"Sierra Leone",24.23
"2004-02-01",1,"Sierra Leone",24.49
"2004-02-02",1,"Sierra Leone",24.04
"2004-02-03",1,"Sierra Leone",24.45
"2004-02-04",1,"Sierra Leone",25.31
"2004-02-05",1,"Sierra Leone",24.88
"2004-02-06",1,"Sierra Leone",23.85
"2004-02-07",1,"Sierra Leone",24.12
"2004-02-08",1,"Sierra Leone",23.95
"2004-02-09",1,"Sierra Leone",23.87
"2004-02-10",1,"Sierra Leone",24.21
"2004-02-11",1,"Sierra Leone",24.37
"2004-02-12",1,"Sierra Leone",24.78
"2004-02-13",1,"Sierra Leone",24.66
"2004-02-14",1,"Sierra Leone",25.26
"2004-02-15",1,"Sierra Leone",26.21
"2004-02-16",1,"Sierra Leone",25.88
"2004-02-17",1,"Sierra Leone",26.52
"2004-02-18",1,"Sierra Leone",24.92
"2004-02-19",1,"Sierra Leone",25.54
"2004-02-20",1,"Sierra Leone",24.92
"2004-02-21",1,"Sierra Leone",24.72
"2004-02-22",1,"Sierra Leone",25.09
"2004-02-23",1,"Sierra Leone",26
"2004-02-24",1,"Sierra Leone",25.76
"2004-02-25",1,"Sierra Leone",25.18
"2004-02-26",1,"Sierra Leone",24.86
"2004-02-27",1,"Sierra Leone",25.15
"2004-02-28",1,"Sierra Leone",24.71
"2004-02-29",1,"Sierra Leone",24.64
"2004-03-01",1,"Sierra Leone",24.78
"2004-03-02",1,"Sierra Leone",25.59
"2004-03-03",1,"Sierra Leone",25.11
"2004-03-04",1,"Sierra Leone",25.18
"2004-03-05",1,"Sierra Leone",25.06
"2004-03-06",1,"Sierra Leone",24.47
"2004-03-07",1,"Sierra Leone",24.9
"2004-03-08",1,"Sierra Leone",25.08
"2004-03-09",1,"Sierra Leone",25.22
"2004-03-10",1,"Sierra Leone",25.22
"2004-03-11",1,"Sierra Leone",24.84
"2004-03-12",1,"Sierra Leone",25.63
"2004-03-13",1,"Sierra Leone",25.02
"2004-03-14",1,"Sierra Leone",25.05
"2004-03-15",1,"Sierra Leone",25.28
"2004-03-16",1,"Sierra Leone",24.71
"2004-03-17",1,"Sierra Leone",24.53
"2004-03-18",1,"Sierra Leone",25.98
"2004-03-19",1,"Sierra Leone",26.17
"2004-03-20",1,"Sierra Leone",25.29
"2004-03-21",1,"Sierra Leone",24.98
"2004-03-22",1,"Sierra Leone",24.32
"2004-03-23",1,"Sierra Leone",24.53
"2004-03-24",1,"Sierra Leone",23.82
"2004-03-25",1,"Sierra Leone",24.8
"2004-03-26",1,"Sierra Leone",24.7
"2004-03-27",1,"Sierra Leone",24.72
"2004-03-28",1,"Sierra Leone",25.59
"2004-03-29",1,"Sierra Leone",25.42
"2004-03-30",1,"Sierra Leone",26.16
"2004-03-31",1,"Sierra Leone",25.71
"2004-04-01",1,"Sierra Leone",24.97
"2004-04-02",1,"Sierra Leone",25.1
"2004-04-03",1,"Sierra Leone",25.39
"2004-04-04",1,"Sierra Leone",26.08
"2004-04-05",1,"Sierra Leone",25.21
"2004-04-06",1,"Sierra Leone",25.4
"2004-04-07",1,"Sierra Leone",25.17
"2004-04-08",1,"Sierra Leone",25.11
"2004-04-09",1,"Sierra Leone",25.03
"2004-04-10",1,"Sierra Leone",24.57
"2004-04-11",1,"Sierra Leone",23.89
"2004-04-12",1,"Sierra Leone",24.97
"2004-04-13",1,"Sierra Leone",25.98
"2004-04-14",1,"Sierra Leone",25.53
"2004-04-15",1,"Sierra Leone",24.3
"2004-04-16",1,"Sierra Leone",24.51
"2004-04-17",1,"Sierra Leone",25.29
"2004-04-18",1,"Sierra Leone",25.43
"2004-04-19",1,"Sierra Leone",24.88
"2004-04-20",1,"Sierra Leone",24.62
"2004-04-21",1,"Sierra Leone",24.46
"2004-04-22",1,"Sierra Leone",23.98
"2004-04-23",1,"Sierra Leone",24.53
"2004-04-24",1,"Sierra Leone",24.86
"2004-04-25",1,"Sierra Leone",24.12
"2004-04-26",1,"Sierra Leone",23.93
"2004-04-27",1,"Sierra Leone",24.22
"2004-04-28",1,"Sierra Leone",23.38
"2004-04-29",1,"Sierra Leone",23.72
"2004-04-30",1,"Sierra Leone",24.07
"2004-05-01",1,"Sierra Leone",23.92
"2004-05-02",1,"Sierra Leone",25.22
"2004-05-03",1,"Sierra Leone",25.52
"2004-05-04",1,"Sierra Leone",25.17
"2004-05-05",1,"Sierra Leone",24.75
"2004-05-06",1,"Sierra Leone",23.92
"2004-05-07",1,"Sierra Leone",23.33
"2004-05-08",1,"Sierra Leone",23.74
"2004-05-09",1,"Sierra Leone",23.93
"2004-05-10",1,"Sierra Leone",23.97
"2004-05-11",1,"Sierra Leone",23.83
"2004-05-12",1,"Sierra Leone",23.75
"2004-05-13",1,"Sierra Leone",23.78
"2004-05-14",1,"Sierra Leone",23.43
"2004-05-15",1,"Sierra Leone",23.28
"2004-05-16",1,"Sierra Leone",23.47
"2004-05-17",1,"Sierra Leone",23.65
"2004-05-18",1,"Sierra Leone",23.99
"2004-05-19",1,"Sierra Leone",24.14
"2004-05-20",1,"Sierra Leone",23.9
"2004-05-21",1,"Sierra Leone",22.96
"2004-05-22",1,"Sierra Leone",23.68
"2004-05-23",1,"Sierra Leone",23.92
"2004-05-24",1,"Sierra Leone",22.89
"2004-05-25",1,"Sierra Leone",22.63
"2004-05-26",1,"Sierra Leone",23.2
"2004-05-27",1,"Sierra Leone",23.83
"2004-05-28",1,"Sierra Leone",22.4
"2004-05-29",1,"Sierra Leone",23.76
"2004-05-30",1,"Sierra Leone",23.6
"2004-05-31",1,"Sierra Leone",23.35
"2004-06-01",1,"Sierra Leone",23.09
"2004-06-02",1,"Sierra Leone",22.88
