"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Eastern",24.02
"2","2021-01-01",2,"Northern",24.94
"3","2021-01-01",3,"Southern",25.04
"4","2021-01-01",4,"Western",27.29
"5","2021-01-02",1,"Eastern",23.99
"6","2021-01-02",2,"Northern",24.76
"7","2021-01-02",3,"Southern",25.1
"8","2021-01-02",4,"Western",26.91
"9","2021-01-03",1,"Eastern",24.4
"10","2021-01-03",2,"Northern",25.11
"11","2021-01-03",3,"Southern",25.4
"12","2021-01-03",4,"Western",27.27
"13","2021-01-04",1,"Eastern",23.92
"14","2021-01-04",2,"Northern",25.1
"15","2021-01-04",3,"Southern",24.99
"16","2021-01-04",4,"Western",27.03
"17","2021-01-05",1,"Eastern",24
"18","2021-01-05",2,"Northern",25.19
"19","2021-01-05",3,"Southern",24.78
"20","2021-01-05",4,"Western",27.34
"21","2021-01-06",1,"Eastern",24.25
"22","2021-01-06",2,"Northern",25.45
"23","2021-01-06",3,"Southern",25.35
"24","2021-01-06",4,"Western",27.55
"25","2021-01-07",1,"Eastern",24.54
"26","2021-01-07",2,"Northern",25.47
"27","2021-01-07",3,"Southern",25.15
"28","2021-01-07",4,"Western",26.85
"29","2021-01-08",1,"Eastern",23.81
"30","2021-01-08",2,"Northern",24.96
"31","2021-01-08",3,"Southern",24.83
"32","2021-01-08",4,"Western",27.04
"33","2021-01-09",1,"Eastern",24.46
"34","2021-01-09",2,"Northern",25.42
"35","2021-01-09",3,"Southern",25.16
"36","2021-01-09",4,"Western",27.27
"37","2021-01-10",1,"Eastern",24.26
"38","2021-01-10",2,"Northern",25.06
"39","2021-01-10",3,"Southern",25.17
"40","2021-01-10",4,"Western",27.1
"41","2021-01-11",1,"Eastern",24.47
"42","2021-01-11",2,"Northern",25.92
"43","2021-01-11",3,"Southern",25.24
"44","2021-01-11",4,"Western",27.21
"45","2021-01-12",1,"Eastern",23.62
"46","2021-01-12",2,"Northern",25.13
"47","2021-01-12",3,"Southern",24.1
"48","2021-01-12",4,"Western",26.66
"49","2021-01-13",1,"Eastern",23.73
"50","2021-01-13",2,"Northern",25.32
"51","2021-01-13",3,"Southern",24.77
"52","2021-01-13",4,"Western",26.71
"53","2021-01-14",1,"Eastern",22.92
"54","2021-01-14",2,"Northern",24.22
"55","2021-01-14",3,"Southern",23.89
"56","2021-01-14",4,"Western",26.68
