"","date","ID_1","NAME_1","t2m"
"1","2019-01-01",1,"Šumadijski",3.53
"2","2019-01-01",2,"Borski",2.42
"3","2019-01-01",3,"Braničevski",3.27
"4","2019-01-01",4,"Grad Beograd",3.85
"5","2019-01-01",5,"Jablanički",1.87
"6","2019-01-01",6,"Južno-Bački",2.6
"7","2019-01-01",7,"Južno-Banatski",3.01
"8","2019-01-01",8,"Kolubarski",2.87
"9","2019-01-01",9,"Mačvanski",3.39
"10","2019-01-01",10,"Moravički",1.49
"11","2019-01-01",11,"Nišavski",2.99
"12","2019-01-01",12,"Pčinjski",0.82
"13","2019-01-01",13,"Pirotski",1.07
"14","2019-01-01",14,"Podunavski",4.23
"15","2019-01-01",15,"Pomoravski",3.4
"16","2019-01-01",16,"Raški",0.99
"17","2019-01-01",17,"Rasinski",2.16
"18","2019-01-01",18,"Severno-Bački",1.85
"19","2019-01-01",19,"Severno-Banatski",1.64
"20","2019-01-01",20,"Srednje-Banatski",2.08
"21","2019-01-01",21,"Sremski",3.62
"22","2019-01-01",22,"Toplički",1.95
"23","2019-01-01",23,"Zaječarski",2.52
"24","2019-01-01",24,"Zapadno-Bački",2.42
"25","2019-01-01",25,"Zlatiborski",0.75
"26","2019-01-02",1,"Šumadijski",-2.65
"27","2019-01-02",2,"Borski",-1.24
"28","2019-01-02",3,"Braničevski",-0.82
"29","2019-01-02",4,"Grad Beograd",-0.31
"30","2019-01-02",5,"Jablanički",-2.8
"31","2019-01-02",6,"Južno-Bački",1.14
"32","2019-01-02",7,"Južno-Banatski",1.21
"33","2019-01-02",8,"Kolubarski",-2.34
"34","2019-01-02",9,"Mačvanski",-1.53
"35","2019-01-02",10,"Moravički",-5.25
"36","2019-01-02",11,"Nišavski",-2.57
"37","2019-01-02",12,"Pčinjski",-4.31
"38","2019-01-02",13,"Pirotski",-3.5
"39","2019-01-02",14,"Podunavski",0.01
"40","2019-01-02",15,"Pomoravski",-3.32
"41","2019-01-02",16,"Raški",-4.91
"42","2019-01-02",17,"Rasinski",-4.17
"43","2019-01-02",18,"Severno-Bački",1.44
"44","2019-01-02",19,"Severno-Banatski",1.45
"45","2019-01-02",20,"Srednje-Banatski",1.41
"46","2019-01-02",21,"Sremski",0.1
"47","2019-01-02",22,"Toplički",-3.33
"48","2019-01-02",23,"Zaječarski",-2.67
"49","2019-01-02",24,"Zapadno-Bački",1.27
"50","2019-01-02",25,"Zlatiborski",-6.33
"51","2019-01-03",1,"Šumadijski",1.02
"52","2019-01-03",2,"Borski",0.06
"53","2019-01-03",3,"Braničevski",-0.66
"54","2019-01-03",4,"Grad Beograd",1.35
"55","2019-01-03",5,"Jablanički",-0.64
"56","2019-01-03",6,"Južno-Bački",1.38
"57","2019-01-03",7,"Južno-Banatski",0.42
"58","2019-01-03",8,"Kolubarski",0.78
"59","2019-01-03",9,"Mačvanski",1.22
"60","2019-01-03",10,"Moravički",-0.54
"61","2019-01-03",11,"Nišavski",0.03
"62","2019-01-03",12,"Pčinjski",-1.64
"63","2019-01-03",13,"Pirotski",-2.17
"64","2019-01-03",14,"Podunavski",1.1
"65","2019-01-03",15,"Pomoravski",0.17
"66","2019-01-03",16,"Raški",-1.42
"67","2019-01-03",17,"Rasinski",-0.14
"68","2019-01-03",18,"Severno-Bački",1.67
"69","2019-01-03",19,"Severno-Banatski",1.73
"70","2019-01-03",20,"Srednje-Banatski",1.09
"71","2019-01-03",21,"Sremski",1.58
"72","2019-01-03",22,"Toplički",-0.1
"73","2019-01-03",23,"Zaječarski",-0.48
"74","2019-01-03",24,"Zapadno-Bački",1.58
"75","2019-01-03",25,"Zlatiborski",-2.32
"76","2019-01-04",1,"Šumadijski",-3.98
"77","2019-01-04",2,"Borski",-3.1
"78","2019-01-04",3,"Braničevski",-4.35
"79","2019-01-04",4,"Grad Beograd",-5.15
"80","2019-01-04",5,"Jablanički",-3.98
"81","2019-01-04",6,"Južno-Bački",-3.85
"82","2019-01-04",7,"Južno-Banatski",-4.4
"83","2019-01-04",8,"Kolubarski",-5.29
"84","2019-01-04",9,"Mačvanski",-4.91
"85","2019-01-04",10,"Moravički",-5.88
"86","2019-01-04",11,"Nišavski",-3.19
"87","2019-01-04",12,"Pčinjski",-5.2
"88","2019-01-04",13,"Pirotski",-4.85
"89","2019-01-04",14,"Podunavski",-3.99
"90","2019-01-04",15,"Pomoravski",-3.83
"91","2019-01-04",16,"Raški",-6.57
"92","2019-01-04",17,"Rasinski",-4.52
"93","2019-01-04",18,"Severno-Bački",-3.78
"94","2019-01-04",19,"Severno-Banatski",-4.27
"95","2019-01-04",20,"Srednje-Banatski",-4.34
"96","2019-01-04",21,"Sremski",-4.2
"97","2019-01-04",22,"Toplički",-4.02
"98","2019-01-04",23,"Zaječarski",-3.58
"99","2019-01-04",24,"Zapadno-Bački",-3.1
"100","2019-01-04",25,"Zlatiborski",-7.72
"101","2019-01-05",1,"Šumadijski",-5.37
"102","2019-01-05",2,"Borski",-6.41
"103","2019-01-05",3,"Braničevski",-6.53
"104","2019-01-05",4,"Grad Beograd",-9.3
"105","2019-01-05",5,"Jablanički",-5.65
"106","2019-01-05",6,"Južno-Bački",-5.53
"107","2019-01-05",7,"Južno-Banatski",-6.69
"108","2019-01-05",8,"Kolubarski",-9.13
"109","2019-01-05",9,"Mačvanski",-9.93
"110","2019-01-05",10,"Moravički",-7.68
"111","2019-01-05",11,"Nišavski",-5.08
"112","2019-01-05",12,"Pčinjski",-6.89
"113","2019-01-05",13,"Pirotski",-7.97
"114","2019-01-05",14,"Podunavski",-6.69
"115","2019-01-05",15,"Pomoravski",-5.92
"116","2019-01-05",16,"Raški",-9.55
"117","2019-01-05",17,"Rasinski",-6.22
"118","2019-01-05",18,"Severno-Bački",-5.32
"119","2019-01-05",19,"Severno-Banatski",-6.1
"120","2019-01-05",20,"Srednje-Banatski",-6.04
"121","2019-01-05",21,"Sremski",-6.71
"122","2019-01-05",22,"Toplički",-5.53
"123","2019-01-05",23,"Zaječarski",-7.12
"124","2019-01-05",24,"Zapadno-Bački",-4.56
"125","2019-01-05",25,"Zlatiborski",-9.62
"126","2019-01-06",1,"Šumadijski",-1.52
"127","2019-01-06",2,"Borski",-2.5
"128","2019-01-06",3,"Braničevski",-2.37
"129","2019-01-06",4,"Grad Beograd",0.26
"130","2019-01-06",5,"Jablanički",-5.75
"131","2019-01-06",6,"Južno-Bački",1.39
"132","2019-01-06",7,"Južno-Banatski",-0.49
"133","2019-01-06",8,"Kolubarski",-0.29
"134","2019-01-06",9,"Mačvanski",0.52
"135","2019-01-06",10,"Moravički",-4.51
"136","2019-01-06",11,"Nišavski",-4.11
"137","2019-01-06",12,"Pčinjski",-7.98
"138","2019-01-06",13,"Pirotski",-7.15
"139","2019-01-06",14,"Podunavski",-0.37
"140","2019-01-06",15,"Pomoravski",-3.01
"141","2019-01-06",16,"Raški",-6.81
"142","2019-01-06",17,"Rasinski",-4.55
"143","2019-01-06",18,"Severno-Bački",1.22
"144","2019-01-06",19,"Severno-Banatski",0.51
"145","2019-01-06",20,"Srednje-Banatski",0.5
"146","2019-01-06",21,"Sremski",0.99
"147","2019-01-06",22,"Toplički",-4.82
"148","2019-01-06",23,"Zaječarski",-4.23
"149","2019-01-06",24,"Zapadno-Bački",1.84
"150","2019-01-06",25,"Zlatiborski",-6.07
"151","2019-01-07",1,"Šumadijski",-2.48
"152","2019-01-07",2,"Borski",-2.55
"153","2019-01-07",3,"Braničevski",-3.79
"154","2019-01-07",4,"Grad Beograd",-3.02
"155","2019-01-07",5,"Jablanički",-4.59
"156","2019-01-07",6,"Južno-Bački",-3.94
"157","2019-01-07",7,"Južno-Banatski",-4.15
"158","2019-01-07",8,"Kolubarski",-2.91
"159","2019-01-07",9,"Mačvanski",-2.05
"160","2019-01-07",10,"Moravički",-4.22
"161","2019-01-07",11,"Nišavski",-2.99
"162","2019-01-07",12,"Pčinjski",-7.85
"163","2019-01-07",13,"Pirotski",-5.31
"164","2019-01-07",14,"Podunavski",-2.9
"165","2019-01-07",15,"Pomoravski",-2.83
"166","2019-01-07",16,"Raški",-5.07
"167","2019-01-07",17,"Rasinski",-3.62
"168","2019-01-07",18,"Severno-Bački",-4.26
"169","2019-01-07",19,"Severno-Banatski",-5.16
"170","2019-01-07",20,"Srednje-Banatski",-5
"171","2019-01-07",21,"Sremski",-2.63
"172","2019-01-07",22,"Toplički",-4.05
"173","2019-01-07",23,"Zaječarski",-3.12
"174","2019-01-07",24,"Zapadno-Bački",-2.71
