"date","ID_2","GID_2","NAME_2","t2m"
"2023-01-01",1,"1","Aranđelovac",3.82
"2023-01-01",2,"2","Batočina",3.18
"2023-01-01",3,"3","Knić",2.21
"2023-01-01",4,"4","Kragujevac",2.38
"2023-01-01",5,"5","Lapovo",5.2
"2023-01-01",6,"6","Rača",4.69
"2023-01-01",7,"7","Topola",4.04
"2023-01-01",8,"8","Bor",5.19
"2023-01-01",9,"9","Kladovo",3.87
"2023-01-01",10,"10","Majdanpek",4.25
"2023-01-01",11,"11","Negotin",4.07
"2023-01-01",12,"12","Žabari",6.12
"2023-01-01",13,"13","Žagubica",4.58
"2023-01-01",14,"14","Golubac",5.68
"2023-01-01",15,"15","Kučevo",5.82
"2023-01-01",16,"16","Malo Crniće",6.32
"2023-01-01",17,"17","Petrovac",6.13
"2023-01-01",18,"18","Požarevac",5.79
"2023-01-01",19,"19","Veliko Gradište",5.99
"2023-01-01",20,"20","Čukarica",5.76
"2023-01-01",21,"21","Barajevo",5.43
"2023-01-01",22,"22","Grocka",5.81
"2023-01-01",23,"23","Lazarevac",4.18
"2023-01-01",24,"24","Mladenovac",5.22
"2023-01-01",25,"25","Novi Beograd",5.75
"2023-01-01",26,"26","Obrenovac",5.35
"2023-01-01",27,"27","Palilula",6.08
"2023-01-01",28,"28","Rakovica",6.17
"2023-01-01",29,"29","Savski Venac",6.17
"2023-01-01",30,"30","Sopot",5.66
"2023-01-01",31,"31","Stari Grad",6.17
"2023-01-01",32,"32","Surčin",5.47
"2023-01-01",33,"33","Voždovac",5.99
"2023-01-01",34,"34","Vračar",6.17
"2023-01-01",35,"35","Zemun",5.61
"2023-01-01",36,"36","Zvezdara",6.17
"2023-01-01",37,"37","Bojnik",0.71
"2023-01-01",38,"38","Crna Trava",0.02
"2023-01-01",39,"39","Lebane",0.41
"2023-01-01",40,"40","Leskovac",0.29
"2023-01-01",41,"41","Medveđa",0.65
"2023-01-01",42,"42","Vlasotince",0.04
"2023-01-01",43,"43","Žabalj",6.89
"2023-01-01",44,"44","Bačka Palanka",7.61
"2023-01-01",45,"45","Bački Petrovac",7.56
"2023-01-01",46,"46","Bač",7.99
"2023-01-01",47,"47","Bečej",7.62
"2023-01-01",48,"48","Beočin",6.93
"2023-01-01",49,"49","Novi Sad",6.66
"2023-01-01",50,"50","Srbobran",7.75
"2023-01-01",51,"51","Sremski Karlovci",6.38
"2023-01-01",52,"52","Temerin",7.44
"2023-01-01",53,"53","Titel",6.44
"2023-01-01",54,"54","Vrbas",8.1
"2023-01-01",55,"55","Alibunar",7.13
"2023-01-01",56,"56","Bela Crkva",6.47
"2023-01-01",57,"57","Kovačica",6.74
"2023-01-01",58,"58","Kovin",6.04
"2023-01-01",59,"59","Opovo",6.33
"2023-01-01",60,"60","Pančevo",6.37
"2023-01-01",61,"61","Plandište",7.85
"2023-01-01",62,"62","Vršac",7.31
"2023-01-01",63,"63","Lajkovac",3.89
"2023-01-01",64,"64","Ljig",3.15
"2023-01-01",65,"65","Mionica",3.41
"2023-01-01",66,"66","Osečina",3.95
"2023-01-01",67,"67","Ub",5.33
"2023-01-01",68,"68","Valjevo",3.67
"2023-01-01",69,"69","Šabac",4.97
"2023-01-01",70,"70","Bogatić",5.18
"2023-01-01",71,"71","Koceljeva",5.3
"2023-01-01",72,"72","Krupanj",4.33
"2023-01-01",73,"73","Ljubovija",3.54
"2023-01-01",74,"74","Loznica",5.01
"2023-01-01",75,"75","Mali Zvornik",4.44
"2023-01-01",76,"76","Vladimirci",5.29
"2023-01-01",77,"77","Čačak",2.67
"2023-01-01",78,"78","Gornji Milanovac",2.68
"2023-01-01",79,"79","Ivanjica",1.65
"2023-01-01",80,"80","Lučani",2.86
"2023-01-01",81,"81","Aleksinac",2.05
"2023-01-01",82,"82","Doljevac",1.27
"2023-01-01",83,"83","Gadžin Han",0.76
"2023-01-01",84,"84","Merošina",1.4
"2023-01-01",85,"85","Niš",1.35
"2023-01-01",86,"86","Ražanj",3.1
"2023-01-01",87,"87","Svrljig",1.96
"2023-01-01",88,"88","Bosilegrad",0.48
"2023-01-01",89,"89","Bujanovac",0.42
"2023-01-01",90,"90","Preševo",0.53
"2023-01-01",91,"91","Surdulica",0.19
"2023-01-01",92,"92","Trgovište",1.01
"2023-01-01",93,"93","Vladičin Han",0.22
"2023-01-01",94,"94","Vranje",0.63
"2023-01-01",95,"95","Babušnica",0.44
"2023-01-01",96,"96","Bela Palanka",1.07
"2023-01-01",97,"97","Dimitrovgrad",1.61
"2023-01-01",98,"98","Pirot",1.88
"2023-01-01",99,"99","Smederevo",5.22
"2023-01-01",100,"100","Smederevska Palanka",4.96
"2023-01-01",101,"101","Velika Plana",5.24
"2023-01-01",102,"102","Ćuprija",4.92
"2023-01-01",103,"103","Despotovac",5.64
"2023-01-01",104,"104","Jagodina",3.64
"2023-01-01",105,"105","Paraćin",3.87
"2023-01-01",106,"106","Rekovac",2.32
"2023-01-01",107,"107","Svilajnac",5.74
"2023-01-01",108,"108","Kraljevo",2.24
"2023-01-01",109,"109","Novi Pazar",0.64
"2023-01-01",110,"110","Raška",0.97
"2023-01-01",111,"111","Tutin",0.74
"2023-01-01",112,"112","Vrnjačka Banja",2.24
"2023-01-01",113,"113","Ćićevac",2.94
"2023-01-01",114,"114","Aleksandrovac",2.14
"2023-01-01",115,"115","Brus",1.73
"2023-01-01",116,"116","Kruševac",1.96
"2023-01-01",117,"117","Trstenik",2.2
"2023-01-01",118,"118","Varvarin",2.5
"2023-01-01",119,"119","Bačka Topola",8.57
"2023-01-01",120,"120","Mali Iđoš",8.25
"2023-01-01",121,"121","Subotica",8.84
"2023-01-01",122,"122","Ada",7.72
"2023-01-01",123,"123","Čoka",7.93
"2023-01-01",124,"124","Kanjiža",8.44
"2023-01-01",125,"125","Kikinda",7.44
"2023-01-01",126,"126","Novi Kneževac",8.17
"2023-01-01",127,"127","Senta",8.28
"2023-01-01",128,"128","Žitište",7.18
"2023-01-01",129,"129","Bečej",7.34
"2023-01-01",130,"130","Nova Crnja",7.41
"2023-01-01",131,"131","Sečanj",7.26
"2023-01-01",132,"132","Zrenjanin",6.74
"2023-01-01",133,"133","Šid",6.39
"2023-01-01",134,"134","Inđija",5.67
"2023-01-01",135,"135","Irig",5.5
"2023-01-01",136,"136","Pećinci",5.17
"2023-01-01",137,"137","Ruma",5.15
"2023-01-01",138,"138","Sremska Mitrovica",5.78
"2023-01-01",139,"139","Stara Pazova",5.51
"2023-01-01",140,"140","Žitorađa",1.08
"2023-01-01",141,"141","Blace",1.92
"2023-01-01",142,"142","Kuršumlija",1.85
"2023-01-01",143,"143","Prokuplje",1.6
"2023-01-01",144,"144","Boljevac",4.43
"2023-01-01",145,"145","Knjaževac",2.68
"2023-01-01",146,"146","Sokobanja",3.05
"2023-01-01",147,"147","Zaječar",4.78
"2023-01-01",148,"148","Apatin",8.85
"2023-01-01",149,"149","Kula",8.61
"2023-01-01",150,"150","Odžaci",8.31
"2023-01-01",151,"151","Sombor",9.14
"2023-01-01",152,"152","Čajetina",1.72
"2023-01-01",153,"153","Arilje",2.62
"2023-01-01",154,"154","Bajina Bašta",1.78
"2023-01-01",155,"155","Kosjerić",2.77
"2023-01-01",156,"156","Nova Varoš",1.67
"2023-01-01",157,"157","Požega",2.97
"2023-01-01",158,"158","Priboj",1.09
"2023-01-01",159,"159","Prijepolje",1.39
"2023-01-01",160,"160","Sjenica",2.12
"2023-01-01",161,"161","Užice",2.02
"2023-01-02",1,"1","Aranđelovac",3.08
"2023-01-02",2,"2","Batočina",2.92
"2023-01-02",3,"3","Knić",1.53
"2023-01-02",4,"4","Kragujevac",1.76
"2023-01-02",5,"5","Lapovo",5.28
"2023-01-02",6,"6","Rača",4.59
"2023-01-02",7,"7","Topola",3.57
"2023-01-02",8,"8","Bor",3.07
"2023-01-02",9,"9","Kladovo",4.88
"2023-01-02",10,"10","Majdanpek",4.99
"2023-01-02",11,"11","Negotin",4.15
"2023-01-02",12,"12","Žabari",5.84
"2023-01-02",13,"13","Žagubica",4.45
"2023-01-02",14,"14","Golubac",5.19
"2023-01-02",15,"15","Kučevo",5.22
"2023-01-02",16,"16","Malo Crniće",5.57
"2023-01-02",17,"17","Petrovac",5.74
"2023-01-02",18,"18","Požarevac",5.41
"2023-01-02",19,"19","Veliko Gradište",4.71
"2023-01-02",20,"20","Čukarica",4.75
"2023-01-02",21,"21","Barajevo",4.03
"2023-01-02",22,"22","Grocka",5.22
"2023-01-02",23,"23","Lazarevac",3.09
"2023-01-02",24,"24","Mladenovac",4.56
"2023-01-02",25,"25","Novi Beograd",4.74
"2023-01-02",26,"26","Obrenovac",4
"2023-01-02",27,"27","Palilula",4.71
"2023-01-02",28,"28","Rakovica",5.33
"2023-01-02",29,"29","Savski Venac",5.33
"2023-01-02",30,"30","Sopot",4.3
"2023-01-02",31,"31","Stari Grad",5.33
"2023-01-02",32,"32","Surčin",4.35
"2023-01-02",33,"33","Voždovac",4.95
"2023-01-02",34,"34","Vračar",5.33
"2023-01-02",35,"35","Zemun",4.31
"2023-01-02",36,"36","Zvezdara",5.33
"2023-01-02",37,"37","Bojnik",0.07
"2023-01-02",38,"38","Crna Trava",-0.97
"2023-01-02",39,"39","Lebane",-0.05
"2023-01-02",40,"40","Leskovac",-0.42
"2023-01-02",41,"41","Medveđa",0.75
"2023-01-02",42,"42","Vlasotince",-1.15
"2023-01-02",43,"43","Žabalj",4.31
"2023-01-02",44,"44","Bačka Palanka",5.61
"2023-01-02",45,"45","Bački Petrovac",5.69
"2023-01-02",46,"46","Bač",5.42
"2023-01-02",47,"47","Bečej",4.4
"2023-01-02",48,"48","Beočin",5.53
"2023-01-02",49,"49","Novi Sad",4.91
"2023-01-02",50,"50","Srbobran",4.69
"2023-01-02",51,"51","Sremski Karlovci",4.35
"2023-01-02",52,"52","Temerin",4.67
"2023-01-02",53,"53","Titel",3.94
"2023-01-02",54,"54","Vrbas",5.15
"2023-01-02",55,"55","Alibunar",6.52
"2023-01-02",56,"56","Bela Crkva",4.94
"2023-01-02",57,"57","Kovačica",5.33
"2023-01-02",58,"58","Kovin",6.14
"2023-01-02",59,"59","Opovo",4.8
"2023-01-02",60,"60","Pančevo",5.86
"2023-01-02",61,"61","Plandište",6.76
"2023-01-02",62,"62","Vršac",5.68
"2023-01-02",63,"63","Lajkovac",2.94
"2023-01-02",64,"64","Ljig",2.33
"2023-01-02",65,"65","Mionica",2.68
"2023-01-02",66,"66","Osečina",3.35
"2023-01-02",67,"67","Ub",3.98
"2023-01-02",68,"68","Valjevo",3.06
"2023-01-02",69,"69","Šabac",3.96
"2023-01-02",70,"70","Bogatić",4.43
"2023-01-02",71,"71","Koceljeva",3.99
"2023-01-02",72,"72","Krupanj",3.34
"2023-01-02",73,"73","Ljubovija",3.03
"2023-01-02",74,"74","Loznica",3.55
"2023-01-02",75,"75","Mali Zvornik",3.19
"2023-01-02",76,"76","Vladimirci",3.97
"2023-01-02",77,"77","Čačak",1.98
"2023-01-02",78,"78","Gornji Milanovac",1.53
"2023-01-02",79,"79","Ivanjica",2.15
"2023-01-02",80,"80","Lučani",2.9
"2023-01-02",81,"81","Aleksinac",0.86
"2023-01-02",82,"82","Doljevac",0.1
"2023-01-02",83,"83","Gadžin Han",-0.54
"2023-01-02",84,"84","Merošina",0.4
"2023-01-02",85,"85","Niš",0.02
"2023-01-02",86,"86","Ražanj",1.81
"2023-01-02",87,"87","Svrljig",0.53
"2023-01-02",88,"88","Bosilegrad",0.35
"2023-01-02",89,"89","Bujanovac",2.5
"2023-01-02",90,"90","Preševo",4.2
"2023-01-02",91,"91","Surdulica",-0.57
"2023-01-02",92,"92","Trgovište",1.7
"2023-01-02",93,"93","Vladičin Han",0.13
"2023-01-02",94,"94","Vranje",1.09
"2023-01-02",95,"95","Babušnica",-1.28
"2023-01-02",96,"96","Bela Palanka",-0.37
"2023-01-02",97,"97","Dimitrovgrad",0.56
"2023-01-02",98,"98","Pirot",0.2
"2023-01-02",99,"99","Smederevo",5.75
"2023-01-02",100,"100","Smederevska Palanka",5.03
"2023-01-02",101,"101","Velika Plana",5.51
"2023-01-02",102,"102","Ćuprija",3.91
"2023-01-02",103,"103","Despotovac",3.63
"2023-01-02",104,"104","Jagodina",3.43
"2023-01-02",105,"105","Paraćin",2.47
"2023-01-02",106,"106","Rekovac",2.05
"2023-01-02",107,"107","Svilajnac",5.63
"2023-01-02",108,"108","Kraljevo",2.4
"2023-01-02",109,"109","Novi Pazar",0.84
"2023-01-02",110,"110","Raška",1.65
"2023-01-02",111,"111","Tutin",0.09
"2023-01-02",112,"112","Vrnjačka Banja",2.47
"2023-01-02",113,"113","Ćićevac",1.96
"2023-01-02",114,"114","Aleksandrovac",2.42
"2023-01-02",115,"115","Brus",1.37
"2023-01-02",116,"116","Kruševac",1.85
"2023-01-02",117,"117","Trstenik",2.24
"2023-01-02",118,"118","Varvarin",2.25
"2023-01-02",119,"119","Bačka Topola",5.4
"2023-01-02",120,"120","Mali Iđoš",4.68
"2023-01-02",121,"121","Subotica",6.49
"2023-01-02",122,"122","Ada",4.31
"2023-01-02",123,"123","Čoka",5.53
"2023-01-02",124,"124","Kanjiža",6
"2023-01-02",125,"125","Kikinda",4.93
"2023-01-02",126,"126","Novi Kneževac",5.97
"2023-01-02",127,"127","Senta",5.55
"2023-01-02",128,"128","Žitište",4.72
"2023-01-02",129,"129","Bečej",4.31
"2023-01-02",130,"130","Nova Crnja",5.14
"2023-01-02",131,"131","Sečanj",5.56
"2023-01-02",132,"132","Zrenjanin",4.2
"2023-01-02",133,"133","Šid",5.13
"2023-01-02",134,"134","Inđija",3.92
"2023-01-02",135,"135","Irig",4.39
"2023-01-02",136,"136","Pećinci",3.82
"2023-01-02",137,"137","Ruma",4.03
"2023-01-02",138,"138","Sremska Mitrovica",5.09
"2023-01-02",139,"139","Stara Pazova",3.86
"2023-01-02",140,"140","Žitorađa",0.07
"2023-01-02",141,"141","Blace",2.09
"2023-01-02",142,"142","Kuršumlija",2.01
"2023-01-02",143,"143","Prokuplje",1.24
"2023-01-02",144,"144","Boljevac",1.62
"2023-01-02",145,"145","Knjaževac",0.9
"2023-01-02",146,"146","Sokobanja",0.97
"2023-01-02",147,"147","Zaječar",2.24
"2023-01-02",148,"148","Apatin",5.77
"2023-01-02",149,"149","Kula",5.3
"2023-01-02",150,"150","Odžaci",5.25
