"","date","ID_1","NAME_1","t2m"
"1","2010-01-01",1,"Žilinský",-0.86
"2","2010-01-01",2,"Banskobystrický",0.47
"3","2010-01-01",3,"Bratislavský",3.99
"4","2010-01-01",4,"Košický",0.98
"5","2010-01-01",5,"Nitriansky",3.4
"6","2010-01-01",6,"Prešov",0.07
"7","2010-01-01",7,"Trenciansky",1.05
"8","2010-01-01",8,"Trnavský",3.72
"9","2010-01-02",1,"Žilinský",-0.94
"10","2010-01-02",2,"Banskobystrický",0.17
"11","2010-01-02",3,"Bratislavský",2.24
"12","2010-01-02",4,"Košický",1.59
"13","2010-01-02",5,"Nitriansky",1.89
"14","2010-01-02",6,"Prešov",0.59
"15","2010-01-02",7,"Trenciansky",0.26
"16","2010-01-02",8,"Trnavský",2.09
"17","2010-01-03",1,"Žilinský",-5.96
"18","2010-01-03",2,"Banskobystrický",-2.93
"19","2010-01-03",3,"Bratislavský",-1.06
"20","2010-01-03",4,"Košický",-1.73
"21","2010-01-03",5,"Nitriansky",-1.42
"22","2010-01-03",6,"Prešov",-3.26
"23","2010-01-03",7,"Trenciansky",-3.42
"24","2010-01-03",8,"Trnavský",-1.13
"25","2010-01-04",1,"Žilinský",-13.4
"26","2010-01-04",2,"Banskobystrický",-9.23
"27","2010-01-04",3,"Bratislavský",-5.39
"28","2010-01-04",4,"Košický",-6.47
"29","2010-01-04",5,"Nitriansky",-6.99
"30","2010-01-04",6,"Prešov",-8.31
"31","2010-01-04",7,"Trenciansky",-9.83
"32","2010-01-04",8,"Trnavský",-5.91
"33","2010-01-05",1,"Žilinský",-9.31
"34","2010-01-05",2,"Banskobystrický",-6.86
"35","2010-01-05",3,"Bratislavský",-3.29
"36","2010-01-05",4,"Košický",-6.61
"37","2010-01-05",5,"Nitriansky",-3.95
"38","2010-01-05",6,"Prešov",-7.95
"39","2010-01-05",7,"Trenciansky",-4.78
"40","2010-01-05",8,"Trnavský",-3.4
"41","2010-01-06",1,"Žilinský",-6.57
"42","2010-01-06",2,"Banskobystrický",-3.45
"43","2010-01-06",3,"Bratislavský",-2.46
"44","2010-01-06",4,"Košický",-2.15
"45","2010-01-06",5,"Nitriansky",-1.72
"46","2010-01-06",6,"Prešov",-3.86
"47","2010-01-06",7,"Trenciansky",-2.51
"48","2010-01-06",8,"Trnavský",-1.97
"49","2010-01-07",1,"Žilinský",-3.61
"50","2010-01-07",2,"Banskobystrický",-2.01
"51","2010-01-07",3,"Bratislavský",-3.85
"52","2010-01-07",4,"Košický",0.29
"53","2010-01-07",5,"Nitriansky",-2.56
"54","2010-01-07",6,"Prešov",-0.84
"55","2010-01-07",7,"Trenciansky",-2.25
"56","2010-01-07",8,"Trnavský",-3.14
"57","2010-01-08",1,"Žilinský",-9.39
"58","2010-01-08",2,"Banskobystrický",-5.18
"59","2010-01-08",3,"Bratislavský",-5.72
"60","2010-01-08",4,"Košický",-0.66
"61","2010-01-08",5,"Nitriansky",-3.43
"62","2010-01-08",6,"Prešov",-0.98
"63","2010-01-08",7,"Trenciansky",-4.95
"64","2010-01-08",8,"Trnavský",-5.23
"65","2010-01-09",1,"Žilinský",0.9
"66","2010-01-09",2,"Banskobystrický",2.82
"67","2010-01-09",3,"Bratislavský",2.55
"68","2010-01-09",4,"Košický",2.27
"69","2010-01-09",5,"Nitriansky",4.23
"70","2010-01-09",6,"Prešov",0.75
"71","2010-01-09",7,"Trenciansky",2.44
"72","2010-01-09",8,"Trnavský",2.92
"73","2010-01-10",1,"Žilinský",1.59
"74","2010-01-10",2,"Banskobystrický",5.34
"75","2010-01-10",3,"Bratislavský",1.78
"76","2010-01-10",4,"Košický",3.62
"77","2010-01-10",5,"Nitriansky",5.92
"78","2010-01-10",6,"Prešov",1.45
"79","2010-01-10",7,"Trenciansky",3.78
"80","2010-01-10",8,"Trnavský",3.89
"81","2010-01-11",1,"Žilinský",-0.85
"82","2010-01-11",2,"Banskobystrický",1.19
"83","2010-01-11",3,"Bratislavský",-0.21
"84","2010-01-11",4,"Košický",2.47
"85","2010-01-11",5,"Nitriansky",0.94
"86","2010-01-11",6,"Prešov",1.13
"87","2010-01-11",7,"Trenciansky",-0.33
"88","2010-01-11",8,"Trnavský",0.3
"89","2010-01-12",1,"Žilinský",-1.96
"90","2010-01-12",2,"Banskobystrický",-0.12
"91","2010-01-12",3,"Bratislavský",-1.67
"92","2010-01-12",4,"Košický",0.23
"93","2010-01-12",5,"Nitriansky",-1.48
"94","2010-01-12",6,"Prešov",-1.25
"95","2010-01-12",7,"Trenciansky",-1.05
"96","2010-01-12",8,"Trnavský",-1.11
"97","2010-01-13",1,"Žilinský",-3.08
"98","2010-01-13",2,"Banskobystrický",-0.8
"99","2010-01-13",3,"Bratislavský",-2.98
"100","2010-01-13",4,"Košický",-2
"101","2010-01-13",5,"Nitriansky",-1.71
"102","2010-01-13",6,"Prešov",-3.08
"103","2010-01-13",7,"Trenciansky",-1
"104","2010-01-13",8,"Trnavský",-2.77
"105","2010-01-14",1,"Žilinský",-2.24
"106","2010-01-14",2,"Banskobystrický",-1.06
"107","2010-01-14",3,"Bratislavský",-0.63
"108","2010-01-14",4,"Košický",-1.72
"109","2010-01-14",5,"Nitriansky",-0.29
"110","2010-01-14",6,"Prešov",-3.25
"111","2010-01-14",7,"Trenciansky",-0.92
"112","2010-01-14",8,"Trnavský",-0.45
"113","2010-01-15",1,"Žilinský",-3.7
"114","2010-01-15",2,"Banskobystrický",-2.22
"115","2010-01-15",3,"Bratislavský",0.14
"116","2010-01-15",4,"Košický",-3.28
"117","2010-01-15",5,"Nitriansky",-0.4
"118","2010-01-15",6,"Prešov",-4.67
"119","2010-01-15",7,"Trenciansky",-0.93
"120","2010-01-15",8,"Trnavský",0.23
"121","2010-01-16",1,"Žilinský",-4.05
"122","2010-01-16",2,"Banskobystrický",-4.12
"123","2010-01-16",3,"Bratislavský",-0.91
"124","2010-01-16",4,"Košický",-4.43
"125","2010-01-16",5,"Nitriansky",-2.45
"126","2010-01-16",6,"Prešov",-5.35
"127","2010-01-16",7,"Trenciansky",-2.28
"128","2010-01-16",8,"Trnavský",-1.77
"129","2010-01-17",1,"Žilinský",-5.81
"130","2010-01-17",2,"Banskobystrický",-4.5
"131","2010-01-17",3,"Bratislavský",-2.47
"132","2010-01-17",4,"Košický",-4.96
"133","2010-01-17",5,"Nitriansky",-2.45
"134","2010-01-17",6,"Prešov",-5.65
