"date","ID_1","NAME_1","t2m"
"2016-01-01",1,"Gorenjska",-3.68
"2016-01-01",2,"Goriška",-2.82
"2016-01-01",3,"Jugovzhodna Slovenija",-4.52
"2016-01-01",4,"Koroška",-5.04
"2016-01-01",5,"Notranjsko-kraška",-3.8
"2016-01-01",6,"Obalno-kraška",-1.47
"2016-01-01",7,"Osrednjeslovenska",-3.7
"2016-01-01",8,"Podravska",-4.87
"2016-01-01",9,"Pomurska",-4.97
"2016-01-01",10,"Savinjska",-4.2
"2016-01-01",11,"Spodnjeposavska",-3.74
"2016-01-01",12,"Zasavska",-3.9
"2016-01-02",1,"Gorenjska",-4.54
"2016-01-02",2,"Goriška",-3.85
"2016-01-02",3,"Jugovzhodna Slovenija",-3.46
"2016-01-02",4,"Koroška",-5.14
"2016-01-02",5,"Notranjsko-kraška",-3.89
"2016-01-02",6,"Obalno-kraška",-1.79
"2016-01-02",7,"Osrednjeslovenska",-3.95
"2016-01-02",8,"Podravska",-5.08
"2016-01-02",9,"Pomurska",-4.56
"2016-01-02",10,"Savinjska",-3.27
"2016-01-02",11,"Spodnjeposavska",-3.66
"2016-01-02",12,"Zasavska",-2.83
"2016-01-03",1,"Gorenjska",-2.81
"2016-01-03",2,"Goriška",-1.3
"2016-01-03",3,"Jugovzhodna Slovenija",-3.38
"2016-01-03",4,"Koroška",-4.43
"2016-01-03",5,"Notranjsko-kraška",-2.55
"2016-01-03",6,"Obalno-kraška",0.67
"2016-01-03",7,"Osrednjeslovenska",-2.77
"2016-01-03",8,"Podravska",-3.93
"2016-01-03",9,"Pomurska",-3.73
"2016-01-03",10,"Savinjska",-3.15
"2016-01-03",11,"Spodnjeposavska",-2.78
"2016-01-03",12,"Zasavska",-2.78
"2016-01-04",1,"Gorenjska",-6.6
"2016-01-04",2,"Goriška",-5.73
"2016-01-04",3,"Jugovzhodna Slovenija",-6.4
"2016-01-04",4,"Koroška",-7.04
"2016-01-04",5,"Notranjsko-kraška",-6.79
"2016-01-04",6,"Obalno-kraška",-3.3
"2016-01-04",7,"Osrednjeslovenska",-5.86
"2016-01-04",8,"Podravska",-6.67
"2016-01-04",9,"Pomurska",-5.47
"2016-01-04",10,"Savinjska",-6.28
"2016-01-04",11,"Spodnjeposavska",-6.46
"2016-01-04",12,"Zasavska",-5.6
"2016-01-05",1,"Gorenjska",-5.89
"2016-01-05",2,"Goriška",-4.26
"2016-01-05",3,"Jugovzhodna Slovenija",-4.58
"2016-01-05",4,"Koroška",-7.36
"2016-01-05",5,"Notranjsko-kraška",-0.49
"2016-01-05",6,"Obalno-kraška",1.04
"2016-01-05",7,"Osrednjeslovenska",-4.14
"2016-01-05",8,"Podravska",-10.56
"2016-01-05",9,"Pomurska",-9.6
"2016-01-05",10,"Savinjska",-8.01
"2016-01-05",11,"Spodnjeposavska",-9.62
"2016-01-05",12,"Zasavska",-6.41
"2016-01-06",1,"Gorenjska",-3.53
"2016-01-06",2,"Goriška",-1.31
"2016-01-06",3,"Jugovzhodna Slovenija",1.37
"2016-01-06",4,"Koroška",-4.96
"2016-01-06",5,"Notranjsko-kraška",1.91
"2016-01-06",6,"Obalno-kraška",2.97
"2016-01-06",7,"Osrednjeslovenska",0.02
"2016-01-06",8,"Podravska",-4.7
"2016-01-06",9,"Pomurska",-4.09
"2016-01-06",10,"Savinjska",-3.58
"2016-01-06",11,"Spodnjeposavska",-0.42
"2016-01-06",12,"Zasavska",-2.27
"2016-01-07",1,"Gorenjska",-5.49
"2016-01-07",2,"Goriška",-3.92
"2016-01-07",3,"Jugovzhodna Slovenija",-0.76
"2016-01-07",4,"Koroška",-4.06
"2016-01-07",5,"Notranjsko-kraška",-2.94
"2016-01-07",6,"Obalno-kraška",-1.16
"2016-01-07",7,"Osrednjeslovenska",-3.05
"2016-01-07",8,"Podravska",-2.11
"2016-01-07",9,"Pomurska",-1.81
"2016-01-07",10,"Savinjska",-2.19
"2016-01-07",11,"Spodnjeposavska",-0.49
"2016-01-07",12,"Zasavska",-2.1
"2016-01-08",1,"Gorenjska",-2.9
"2016-01-08",2,"Goriška",-1.23
"2016-01-08",3,"Jugovzhodna Slovenija",0.03
"2016-01-08",4,"Koroška",-4.04
"2016-01-08",5,"Notranjsko-kraška",1.15
"2016-01-08",6,"Obalno-kraška",2.6
"2016-01-08",7,"Osrednjeslovenska",0.05
"2016-01-08",8,"Podravska",-2.1
"2016-01-08",9,"Pomurska",-2.59
"2016-01-08",10,"Savinjska",-1.69
"2016-01-08",11,"Spodnjeposavska",-1.67
"2016-01-08",12,"Zasavska",-0.82
"2016-01-09",1,"Gorenjska",1.31
"2016-01-09",2,"Goriška",2.87
"2016-01-09",3,"Jugovzhodna Slovenija",2.26
"2016-01-09",4,"Koroška",0.81
"2016-01-09",5,"Notranjsko-kraška",4.77
"2016-01-09",6,"Obalno-kraška",6.99
"2016-01-09",7,"Osrednjeslovenska",1.78
"2016-01-09",8,"Podravska",1.22
"2016-01-09",9,"Pomurska",1.14
"2016-01-09",10,"Savinjska",1.3
"2016-01-09",11,"Spodnjeposavska",1.19
"2016-01-09",12,"Zasavska",1.47
"2016-01-10",1,"Gorenjska",2.21
"2016-01-10",2,"Goriška",4
"2016-01-10",3,"Jugovzhodna Slovenija",3.66
"2016-01-10",4,"Koroška",1.32
"2016-01-10",5,"Notranjsko-kraška",6.94
"2016-01-10",6,"Obalno-kraška",9.04
"2016-01-10",7,"Osrednjeslovenska",2.64
"2016-01-10",8,"Podravska",0.35
"2016-01-10",9,"Pomurska",0.47
"2016-01-10",10,"Savinjska",1.52
"2016-01-10",11,"Spodnjeposavska",1.58
"2016-01-10",12,"Zasavska",2.07
"2016-01-11",1,"Gorenjska",4.4
"2016-01-11",2,"Goriška",6.32
"2016-01-11",3,"Jugovzhodna Slovenija",8.6
"2016-01-11",4,"Koroška",1.94
"2016-01-11",5,"Notranjsko-kraška",9.07
"2016-01-11",6,"Obalno-kraška",10.55
"2016-01-11",7,"Osrednjeslovenska",7.61
"2016-01-11",8,"Podravska",4.03
"2016-01-11",9,"Pomurska",3.98
"2016-01-11",10,"Savinjska",4.05
"2016-01-11",11,"Spodnjeposavska",5.5
"2016-01-11",12,"Zasavska",5.6
"2016-01-12",1,"Gorenjska",2.68
"2016-01-12",2,"Goriška",5.51
"2016-01-12",3,"Jugovzhodna Slovenija",7.85
"2016-01-12",4,"Koroška",2.19
"2016-01-12",5,"Notranjsko-kraška",7.57
"2016-01-12",6,"Obalno-kraška",9.51
"2016-01-12",7,"Osrednjeslovenska",6.11
"2016-01-12",8,"Podravska",3.85
"2016-01-12",9,"Pomurska",4.74
"2016-01-12",10,"Savinjska",4.04
"2016-01-12",11,"Spodnjeposavska",6.42
"2016-01-12",12,"Zasavska",4.82
"2016-01-13",1,"Gorenjska",-1.72
"2016-01-13",2,"Goriška",0.54
"2016-01-13",3,"Jugovzhodna Slovenija",1.01
"2016-01-13",4,"Koroška",-0.97
"2016-01-13",5,"Notranjsko-kraška",1.61
