"","date","ID_1","NAME_1","t2m"
"1","2019-01-01",1,"Gorenjska",1.1
"2","2019-01-01",2,"Goriška",1.95
"3","2019-01-01",3,"Jugovzhodna Slovenija",1.06
"4","2019-01-01",4,"Koroška",0.41
"5","2019-01-01",5,"Notranjsko-kraška",1.64
"6","2019-01-01",6,"Obalno-kraška",3.63
"7","2019-01-01",7,"Osrednjeslovenska",1.53
"8","2019-01-01",8,"Podravska",0.61
"9","2019-01-01",9,"Pomurska",1.65
"10","2019-01-01",10,"Savinjska",1.22
"11","2019-01-01",11,"Spodnjeposavska",2.22
"12","2019-01-01",12,"Zasavska",1.36
"13","2019-01-02",1,"Gorenjska",-2.36
"14","2019-01-02",2,"Goriška",-1.54
"15","2019-01-02",3,"Jugovzhodna Slovenija",-2.47
"16","2019-01-02",4,"Koroška",-1.82
"17","2019-01-02",5,"Notranjsko-kraška",-2.77
"18","2019-01-02",6,"Obalno-kraška",-0.51
"19","2019-01-02",7,"Osrednjeslovenska",-2.03
"20","2019-01-02",8,"Podravska",-0.63
"21","2019-01-02",9,"Pomurska",0.34
"22","2019-01-02",10,"Savinjska",-1.58
"23","2019-01-02",11,"Spodnjeposavska",-2
"24","2019-01-02",12,"Zasavska",-1.74
"25","2019-01-03",1,"Gorenjska",-2.19
"26","2019-01-03",2,"Goriška",-1.4
"27","2019-01-03",3,"Jugovzhodna Slovenija",-0.66
"28","2019-01-03",4,"Koroška",-2.75
"29","2019-01-03",5,"Notranjsko-kraška",-0.35
"30","2019-01-03",6,"Obalno-kraška",1.48
"31","2019-01-03",7,"Osrednjeslovenska",-0.59
"32","2019-01-03",8,"Podravska",-0.67
"33","2019-01-03",9,"Pomurska",-0.05
"34","2019-01-03",10,"Savinjska",-1.19
"35","2019-01-03",11,"Spodnjeposavska",-0.48
"36","2019-01-03",12,"Zasavska",-1.45
"37","2019-01-04",1,"Gorenjska",-3.69
"38","2019-01-04",2,"Goriška",-2.42
"39","2019-01-04",3,"Jugovzhodna Slovenija",-3.72
"40","2019-01-04",4,"Koroška",-4.73
"41","2019-01-04",5,"Notranjsko-kraška",-3.1
"42","2019-01-04",6,"Obalno-kraška",-0.67
"43","2019-01-04",7,"Osrednjeslovenska",-2.99
"44","2019-01-04",8,"Podravska",-3.1
"45","2019-01-04",9,"Pomurska",-2.32
"46","2019-01-04",10,"Savinjska",-3.44
"47","2019-01-04",11,"Spodnjeposavska",-2.58
"48","2019-01-04",12,"Zasavska",-3.33
"49","2019-01-05",1,"Gorenjska",-3.59
"50","2019-01-05",2,"Goriška",-2.59
"51","2019-01-05",3,"Jugovzhodna Slovenija",-3.45
"52","2019-01-05",4,"Koroška",-3.81
"53","2019-01-05",5,"Notranjsko-kraška",-3.33
"54","2019-01-05",6,"Obalno-kraška",-0.87
"55","2019-01-05",7,"Osrednjeslovenska",-3
"56","2019-01-05",8,"Podravska",-2.3
"57","2019-01-05",9,"Pomurska",-1.57
"58","2019-01-05",10,"Savinjska",-3.07
"59","2019-01-05",11,"Spodnjeposavska",-2.68
"60","2019-01-05",12,"Zasavska",-3.04
"61","2019-01-06",1,"Gorenjska",-2.99
"62","2019-01-06",2,"Goriška",-2.77
"63","2019-01-06",3,"Jugovzhodna Slovenija",-2.64
"64","2019-01-06",4,"Koroška",-2.43
"65","2019-01-06",5,"Notranjsko-kraška",-2.11
