"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Gorenjska",5.52
"2023-01-01",2,"2","Goriška",6.78
"2023-01-01",3,"3","Jugovzhodna Slovenija",8.84
"2023-01-01",4,"4","Koroška",3.8
"2023-01-01",5,"5","Notranjsko-kraška",8.45
"2023-01-01",6,"6","Obalno-kraška",9.37
"2023-01-01",7,"7","Osrednjeslovenska",8.4
"2023-01-01",8,"8","Podravska",7.91
"2023-01-01",9,"9","Pomurska",8.06
"2023-01-01",10,"10","Savinjska",7.21
"2023-01-01",11,"11","Spodnjeposavska",9.6
"2023-01-01",12,"12","Zasavska",7.74
"2023-01-02",1,"1","Gorenjska",5.06
"2023-01-02",2,"2","Goriška",5.72
"2023-01-02",3,"3","Jugovzhodna Slovenija",7.9
"2023-01-02",4,"4","Koroška",3.66
"2023-01-02",5,"5","Notranjsko-kraška",7.71
"2023-01-02",6,"6","Obalno-kraška",8.79
"2023-01-02",7,"7","Osrednjeslovenska",7.57
"2023-01-02",8,"8","Podravska",6.18
"2023-01-02",9,"9","Pomurska",5.51
"2023-01-02",10,"10","Savinjska",6.23
"2023-01-02",11,"11","Spodnjeposavska",7.83
"2023-01-02",12,"12","Zasavska",6.96
"2023-01-03",1,"1","Gorenjska",4.82
"2023-01-03",2,"2","Goriška",5.97
"2023-01-03",3,"3","Jugovzhodna Slovenija",8.42
"2023-01-03",4,"4","Koroška",3.73
"2023-01-03",5,"5","Notranjsko-kraška",7.72
"2023-01-03",6,"6","Obalno-kraška",9.15
"2023-01-03",7,"7","Osrednjeslovenska",7.62
"2023-01-03",8,"8","Podravska",5.69
"2023-01-03",9,"9","Pomurska",4.13
"2023-01-03",10,"10","Savinjska",6.47
"2023-01-03",11,"11","Spodnjeposavska",8.85
"2023-01-03",12,"12","Zasavska",7.14
"2023-01-04",1,"1","Gorenjska",4.18
"2023-01-04",2,"2","Goriška",5.39
"2023-01-04",3,"3","Jugovzhodna Slovenija",7.7
"2023-01-04",4,"4","Koroška",4.88
