"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Östergötland",3.23
"2023-01-01",2,"2","Blekinge",7.72
"2023-01-01",3,"3","Dalarna",-3.33
"2023-01-01",4,"4","Gävleborg",-0.33
"2023-01-01",5,"5","Gotland",6.64
"2023-01-01",6,"6","Halland",4.47
"2023-01-01",7,"7","Jämtland",-4.03
"2023-01-01",8,"8","Jönköping",2.64
"2023-01-01",9,"9","Kalmar",5.44
"2023-01-01",10,"10","Kronoberg",5.24
"2023-01-01",11,"11","Norrbotten",-2.27
"2023-01-01",12,"12","Orebro",0.86
"2023-01-01",13,"13","Södermanland",2.4
"2023-01-01",14,"14","Skåne",8.05
"2023-01-01",15,"15","Stockholm",2.22
"2023-01-01",16,"16","Uppsala",0.84
"2023-01-01",17,"17","Värmland",-0.93
"2023-01-01",18,"18","Västerbotten",-2.36
"2023-01-01",19,"19","Västernorrland",-1.06
"2023-01-01",20,"20","Västmanland",0.55
"2023-01-01",21,"21","Västra Götaland",2.84
"2023-01-02",1,"1","Östergötland",1.36
"2023-01-02",2,"2","Blekinge",7.03
"2023-01-02",3,"3","Dalarna",-15.4
"2023-01-02",4,"4","Gävleborg",-13.15
"2023-01-02",5,"5","Gotland",3.11
"2023-01-02",6,"6","Halland",6.22
"2023-01-02",7,"7","Jämtland",-14.97
"2023-01-02",8,"8","Jönköping",4.77
"2023-01-02",9,"9","Kalmar",4.32
"2023-01-02",10,"10","Kronoberg",6.12
"2023-01-02",11,"11","Norrbotten",-5.07
"2023-01-02",12,"12","Orebro",-2.27
"2023-01-02",13,"13","Södermanland",-0.94
"2023-01-02",14,"14","Skåne",7.43
"2023-01-02",15,"15","Stockholm",-2.36
"2023-01-02",16,"16","Uppsala",-6.86
"2023-01-02",17,"17","Värmland",-4.86
"2023-01-02",18,"18","Västerbotten",-6.47
"2023-01-02",19,"19","Västernorrland",-11.28
"2023-01-02",20,"20","Västmanland",-5.26
"2023-01-02",21,"21","Västra Götaland",3.68
"2023-01-03",1,"1","Östergötland",0.03
"2023-01-03",2,"2","Blekinge",5.71
"2023-01-03",3,"3","Dalarna",-9.44
"2023-01-03",4,"4","Gävleborg",-7.24
"2023-01-03",5,"5","Gotland",4.51
"2023-01-03",6,"6","Halland",3.98
"2023-01-03",7,"7","Jämtland",-15
"2023-01-03",8,"8","Jönköping",2.49
"2023-01-03",9,"9","Kalmar",4.1
"2023-01-03",10,"10","Kronoberg",4.17
"2023-01-03",11,"11","Norrbotten",-16.3
"2023-01-03",12,"12","Orebro",-2.16
"2023-01-03",13,"13","Södermanland",-0.89
"2023-01-03",14,"14","Skåne",5.1
"2023-01-03",15,"15","Stockholm",0.09
"2023-01-03",16,"16","Uppsala",-0.34
"2023-01-03",17,"17","Värmland",-5.27
"2023-01-03",18,"18","Västerbotten",-15.67
"2023-01-03",19,"19","Västernorrland",-14.78
