"","date","ID_1","NAME_1","t2m"
"1","2012-01-01",1,"Kaohsiung",17.37
"2","2012-01-01",2,"Pratas Islands",19.75
"3","2012-01-01",3,"Taipei",13.17
"4","2012-01-01",4,"Taiwan",13.14
"5","2012-01-02",1,"Kaohsiung",16.97
"6","2012-01-02",2,"Pratas Islands",20.14
"7","2012-01-02",3,"Taipei",12.25
"8","2012-01-02",4,"Taiwan",12.11
"9","2012-01-03",1,"Kaohsiung",16.68
"10","2012-01-03",2,"Pratas Islands",20.78
"11","2012-01-03",3,"Taipei",14.12
"12","2012-01-03",4,"Taiwan",12.73
"13","2012-01-04",1,"Kaohsiung",14.8
"14","2012-01-04",2,"Pratas Islands",19.6
"15","2012-01-04",3,"Taipei",8.78
"16","2012-01-04",4,"Taiwan",11.18
"17","2012-01-05",1,"Kaohsiung",14.15
"18","2012-01-05",2,"Pratas Islands",19.1
"19","2012-01-05",3,"Taipei",9.12
"20","2012-01-05",4,"Taiwan",10.12
"21","2012-01-06",1,"Kaohsiung",16.33
"22","2012-01-06",2,"Pratas Islands",20.42
"23","2012-01-06",3,"Taipei",13.05
"24","2012-01-06",4,"Taiwan",13.06
"25","2012-01-07",1,"Kaohsiung",16.95
"26","2012-01-07",2,"Pratas Islands",19.73
"27","2012-01-07",3,"Taipei",13.68
"28","2012-01-07",4,"Taiwan",13.44
"29","2012-01-08",1,"Kaohsiung",17.72
"30","2012-01-08",2,"Pratas Islands",19.88
"31","2012-01-08",3,"Taipei",15.47
"32","2012-01-08",4,"Taiwan",14.21
"33","2012-01-09",1,"Kaohsiung",18.12
"34","2012-01-09",2,"Pratas Islands",19.66
"35","2012-01-09",3,"Taipei",15.35
"36","2012-01-09",4,"Taiwan",14.72
"37","2012-01-10",1,"Kaohsiung",17.9
"38","2012-01-10",2,"Pratas Islands",19.7
"39","2012-01-10",3,"Taipei",15.21
"40","2012-01-10",4,"Taiwan",14.47
"41","2012-01-11",1,"Kaohsiung",18.1
"42","2012-01-11",2,"Pratas Islands",20.54
"43","2012-01-11",3,"Taipei",13.49
"44","2012-01-11",4,"Taiwan",13.95
"45","2012-01-12",1,"Kaohsiung",17.62
"46","2012-01-12",2,"Pratas Islands",20.05
"47","2012-01-12",3,"Taipei",13.29
"48","2012-01-12",4,"Taiwan",13.2
"49","2012-01-13",1,"Kaohsiung",18.44
"50","2012-01-13",2,"Pratas Islands",22.34
"51","2012-01-13",3,"Taipei",15.56
"52","2012-01-13",4,"Taiwan",15.29
"53","2012-01-14",1,"Kaohsiung",19.58
"54","2012-01-14",2,"Pratas Islands",23.06
"55","2012-01-14",3,"Taipei",17.58
"56","2012-01-14",4,"Taiwan",16.5
"57","2012-01-15",1,"Kaohsiung",20.61
"58","2012-01-15",2,"Pratas Islands",23.18
"59","2012-01-15",3,"Taipei",16.39
"60","2012-01-15",4,"Taiwan",17.12
"61","2012-01-16",1,"Kaohsiung",19.11
"62","2012-01-16",2,"Pratas Islands",20.97
"63","2012-01-16",3,"Taipei",15.35
"64","2012-01-16",4,"Taiwan",15.14
"65","2012-01-17",1,"Kaohsiung",16.46
"66","2012-01-17",2,"Pratas Islands",21.47
"67","2012-01-17",3,"Taipei",14.51
"68","2012-01-17",4,"Taiwan",12.99
"69","2012-01-18",1,"Kaohsiung",18.6
"70","2012-01-18",2,"Pratas Islands",22.95
"71","2012-01-18",3,"Taipei",15.22
"72","2012-01-18",4,"Taiwan",14.41
"73","2012-01-19",1,"Kaohsiung",19.14
"74","2012-01-19",2,"Pratas Islands",23.3
"75","2012-01-19",3,"Taipei",15.09
"76","2012-01-19",4,"Taiwan",15.08
"77","2012-01-20",1,"Kaohsiung",18.02
"78","2012-01-20",2,"Pratas Islands",22.84
"79","2012-01-20",3,"Taipei",14.98
"80","2012-01-20",4,"Taiwan",14.15
"81","2012-01-21",1,"Kaohsiung",18.07
"82","2012-01-21",2,"Pratas Islands",22.54
"83","2012-01-21",3,"Taipei",13.78
"84","2012-01-21",4,"Taiwan",13.94
"85","2012-01-22",1,"Kaohsiung",16.96
"86","2012-01-22",2,"Pratas Islands",20.93
"87","2012-01-22",3,"Taipei",12.25
"88","2012-01-22",4,"Taiwan",13.22
"89","2012-01-23",1,"Kaohsiung",14.44
"90","2012-01-23",2,"Pratas Islands",18.77
"91","2012-01-23",3,"Taipei",9.18
"92","2012-01-23",4,"Taiwan",10.36
"93","2012-01-24",1,"Kaohsiung",15.85
"94","2012-01-24",2,"Pratas Islands",21.16
"95","2012-01-24",3,"Taipei",11.03
"96","2012-01-24",4,"Taiwan",11.64
"97","2012-01-25",1,"Kaohsiung",14.79
"98","2012-01-25",2,"Pratas Islands",19.04
"99","2012-01-25",3,"Taipei",8.85
"100","2012-01-25",4,"Taiwan",10.67
"101","2012-01-26",1,"Kaohsiung",15.43
"102","2012-01-26",2,"Pratas Islands",20.08
"103","2012-01-26",3,"Taipei",9.7
"104","2012-01-26",4,"Taiwan",10.47
"105","2012-01-27",1,"Kaohsiung",16.39
"106","2012-01-27",2,"Pratas Islands",21.86
"107","2012-01-27",3,"Taipei",13.24
"108","2012-01-27",4,"Taiwan",12.7
"109","2012-01-28",1,"Kaohsiung",18.71
"110","2012-01-28",2,"Pratas Islands",22.22
"111","2012-01-28",3,"Taipei",13.45
"112","2012-01-28",4,"Taiwan",14.28
"113","2012-01-29",1,"Kaohsiung",17.71
"114","2012-01-29",2,"Pratas Islands",20.6
"115","2012-01-29",3,"Taipei",14.19
"116","2012-01-29",4,"Taiwan",14.42
"117","2012-01-30",1,"Kaohsiung",17.38
"118","2012-01-30",2,"Pratas Islands",19.8
"119","2012-01-30",3,"Taipei",14.04
"120","2012-01-30",4,"Taiwan",13.88
"121","2012-01-31",1,"Kaohsiung",16.43
"122","2012-01-31",2,"Pratas Islands",19.24
"123","2012-01-31",3,"Taipei",11.99
"124","2012-01-31",4,"Taiwan",12.54
"125","2012-02-01",1,"Kaohsiung",16.17
"126","2012-02-01",2,"Pratas Islands",19.59
"127","2012-02-01",3,"Taipei",13.56
"128","2012-02-01",4,"Taiwan",12.52
"129","2012-02-02",1,"Kaohsiung",17.28
"130","2012-02-02",2,"Pratas Islands",19.68
"131","2012-02-02",3,"Taipei",12.64
"132","2012-02-02",4,"Taiwan",12.92
"133","2012-02-03",1,"Kaohsiung",16.53
"134","2012-02-03",2,"Pratas Islands",18.84
"135","2012-02-03",3,"Taipei",10.17
