"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Kaohsiung",19.28
"2023-01-01",2,"2","Pratas Islands",21.47
"2023-01-01",3,"3","Taipei",16.69
"2023-01-01",4,"4","Taiwan",15.2
"2023-01-02",1,"1","Kaohsiung",19.22
"2023-01-02",2,"2","Pratas Islands",22.29
"2023-01-02",3,"3","Taipei",16.59
"2023-01-02",4,"4","Taiwan",15.34
"2023-01-03",1,"1","Kaohsiung",18.57
"2023-01-03",2,"2","Pratas Islands",21.23
"2023-01-03",3,"3","Taipei",15.04
"2023-01-03",4,"4","Taiwan",14.87
"2023-01-04",1,"1","Kaohsiung",18.08
"2023-01-04",2,"2","Pratas Islands",20.99
"2023-01-04",3,"3","Taipei",13.36
"2023-01-04",4,"4","Taiwan",13.85
"2023-01-05",1,"1","Kaohsiung",18.53
"2023-01-05",2,"2","Pratas Islands",21.71
"2023-01-05",3,"3","Taipei",15.47
"2023-01-05",4,"4","Taiwan",14.63
"2023-01-06",1,"1","Kaohsiung",19.41
"2023-01-06",2,"2","Pratas Islands",21.77
"2023-01-06",3,"3","Taipei",16.57
"2023-01-06",4,"4","Taiwan",15.51
"2023-01-07",1,"1","Kaohsiung",18.97
"2023-01-07",2,"2","Pratas Islands",22.03
"2023-01-07",3,"3","Taipei",14.5
"2023-01-07",4,"4","Taiwan",14.53
"2023-01-08",1,"1","Kaohsiung",20.52
"2023-01-08",2,"2","Pratas Islands",23.09
"2023-01-08",3,"3","Taipei",15.19
"2023-01-08",4,"4","Taiwan",15.26
"2023-01-09",1,"1","Kaohsiung",19.54
"2023-01-09",2,"2","Pratas Islands",24.26
"2023-01-09",3,"3","Taipei",16.9
"2023-01-09",4,"4","Taiwan",16.02
"2023-01-10",1,"1","Kaohsiung",21.04
"2023-01-10",2,"2","Pratas Islands",23.03
"2023-01-10",3,"3","Taipei",17.46
"2023-01-10",4,"4","Taiwan",16.36
"2023-01-11",1,"1","Kaohsiung",19.87
"2023-01-11",2,"2","Pratas Islands",22.96
"2023-01-11",3,"3","Taipei",17.44
"2023-01-11",4,"4","Taiwan",16.38
"2023-01-12",1,"1","Kaohsiung",20.32
"2023-01-12",2,"2","Pratas Islands",24.29
"2023-01-12",3,"3","Taipei",18.12
"2023-01-12",4,"4","Taiwan",16.66
"2023-01-13",1,"1","Kaohsiung",21.17
"2023-01-13",2,"2","Pratas Islands",24.55
"2023-01-13",3,"3","Taipei",18.48
"2023-01-13",4,"4","Taiwan",17.38
"2023-01-14",1,"1","Kaohsiung",23.57
"2023-01-14",2,"2","Pratas Islands",24.51
"2023-01-14",3,"3","Taipei",19.77
"2023-01-14",4,"4","Taiwan",18.47
"2023-01-15",1,"1","Kaohsiung",20.94
"2023-01-15",2,"2","Pratas Islands",23.73
"2023-01-15",3,"3","Taipei",14.61
"2023-01-15",4,"4","Taiwan",16.22
"2023-01-16",1,"1","Kaohsiung",16.05
"2023-01-16",2,"2","Pratas Islands",20.29
"2023-01-16",3,"3","Taipei",9.64
"2023-01-16",4,"4","Taiwan",11.7
"2023-01-17",1,"1","Kaohsiung",16.28
"2023-01-17",2,"2","Pratas Islands",20.48
"2023-01-17",3,"3","Taipei",11.86
