"date","ID_0","NAME_0","t2m"
"2019-01-01",1,"Tanzania",20.93
"2019-01-02",1,"Tanzania",21.35
"2019-01-03",1,"Tanzania",21.2
"2019-01-04",1,"Tanzania",21.21
"2019-01-05",1,"Tanzania",21.49
"2019-01-06",1,"Tanzania",21.58
"2019-01-07",1,"Tanzania",21.81
"2019-01-08",1,"Tanzania",21.38
"2019-01-09",1,"Tanzania",21.19
"2019-01-10",1,"Tanzania",20.9
"2019-01-11",1,"Tanzania",21.33
"2019-01-12",1,"Tanzania",21.2
"2019-01-13",1,"Tanzania",21.07
"2019-01-14",1,"Tanzania",20.96
"2019-01-15",1,"Tanzania",20.8
"2019-01-16",1,"Tanzania",20.43
"2019-01-17",1,"Tanzania",19.59
"2019-01-18",1,"Tanzania",21.16
"2019-01-19",1,"Tanzania",20.22
"2019-01-20",1,"Tanzania",21.17
"2019-01-21",1,"Tanzania",20.51
"2019-01-22",1,"Tanzania",20.62
"2019-01-23",1,"Tanzania",20.82
"2019-01-24",1,"Tanzania",21.05
"2019-01-25",1,"Tanzania",21.01
"2019-01-26",1,"Tanzania",21.1
"2019-01-27",1,"Tanzania",21.01
"2019-01-28",1,"Tanzania",20.9
"2019-01-29",1,"Tanzania",20.99
"2019-01-30",1,"Tanzania",20.58
"2019-01-31",1,"Tanzania",20.45
"2019-02-01",1,"Tanzania",21.42
"2019-02-02",1,"Tanzania",21.47
"2019-02-03",1,"Tanzania",21.33
"2019-02-04",1,"Tanzania",20.95
"2019-02-05",1,"Tanzania",22.07
"2019-02-06",1,"Tanzania",21.66
"2019-02-07",1,"Tanzania",21.22
"2019-02-08",1,"Tanzania",21.21
"2019-02-09",1,"Tanzania",21.6
"2019-02-10",1,"Tanzania",22.03
"2019-02-11",1,"Tanzania",21.09
"2019-02-12",1,"Tanzania",20.61
"2019-02-13",1,"Tanzania",21.35
"2019-02-14",1,"Tanzania",20.65
"2019-02-15",1,"Tanzania",21
"2019-02-16",1,"Tanzania",21.78
"2019-02-17",1,"Tanzania",21.98
"2019-02-18",1,"Tanzania",21.83
"2019-02-19",1,"Tanzania",21.43
"2019-02-20",1,"Tanzania",21.26
"2019-02-21",1,"Tanzania",20.92
"2019-02-22",1,"Tanzania",21.05
"2019-02-23",1,"Tanzania",20.83
"2019-02-24",1,"Tanzania",20.11
"2019-02-25",1,"Tanzania",20.16
"2019-02-26",1,"Tanzania",21.13
"2019-02-27",1,"Tanzania",21.36
"2019-02-28",1,"Tanzania",21.35
"2019-03-01",1,"Tanzania",21.37
"2019-03-02",1,"Tanzania",20.95
"2019-03-03",1,"Tanzania",20.44
"2019-03-04",1,"Tanzania",20.45
"2019-03-05",1,"Tanzania",20.66
"2019-03-06",1,"Tanzania",21
"2019-03-07",1,"Tanzania",20
"2019-03-08",1,"Tanzania",20.77
"2019-03-09",1,"Tanzania",21.12
"2019-03-10",1,"Tanzania",21.05
"2019-03-11",1,"Tanzania",20.79
"2019-03-12",1,"Tanzania",21.2
"2019-03-13",1,"Tanzania",21.09
"2019-03-14",1,"Tanzania",21.04
"2019-03-15",1,"Tanzania",20.57
"2019-03-16",1,"Tanzania",20.6
"2019-03-17",1,"Tanzania",20.45
"2019-03-18",1,"Tanzania",20.91
"2019-03-19",1,"Tanzania",21.18
"2019-03-20",1,"Tanzania",21.54
"2019-03-21",1,"Tanzania",21.94
"2019-03-22",1,"Tanzania",21.64
"2019-03-23",1,"Tanzania",21.81
"2019-03-24",1,"Tanzania",21.45
"2019-03-25",1,"Tanzania",21.53
"2019-03-26",1,"Tanzania",20.74
"2019-03-27",1,"Tanzania",21.6
"2019-03-28",1,"Tanzania",21.54
"2019-03-29",1,"Tanzania",20.95
"2019-03-30",1,"Tanzania",21.65
"2019-03-31",1,"Tanzania",20.39
"2019-04-01",1,"Tanzania",21.22
"2019-04-02",1,"Tanzania",20.86
"2019-04-03",1,"Tanzania",21.04
"2019-04-04",1,"Tanzania",20.67
"2019-04-05",1,"Tanzania",20.87
"2019-04-06",1,"Tanzania",21.16
"2019-04-07",1,"Tanzania",21.44
"2019-04-08",1,"Tanzania",21.02
"2019-04-09",1,"Tanzania",21.59
"2019-04-10",1,"Tanzania",20.94
"2019-04-11",1,"Tanzania",20.32
"2019-04-12",1,"Tanzania",20.6
"2019-04-13",1,"Tanzania",20.8
"2019-04-14",1,"Tanzania",20.89
"2019-04-15",1,"Tanzania",20.6
"2019-04-16",1,"Tanzania",20.77
"2019-04-17",1,"Tanzania",20.23
"2019-04-18",1,"Tanzania",21.12
"2019-04-19",1,"Tanzania",21.02
"2019-04-20",1,"Tanzania",21.49
"2019-04-21",1,"Tanzania",21.22
"2019-04-22",1,"Tanzania",20.86
"2019-04-23",1,"Tanzania",20.88
"2019-04-24",1,"Tanzania",20.22
"2019-04-25",1,"Tanzania",20.49
"2019-04-26",1,"Tanzania",20.41
"2019-04-27",1,"Tanzania",19.99
"2019-04-28",1,"Tanzania",20.93
"2019-04-29",1,"Tanzania",20.82
"2019-04-30",1,"Tanzania",20.6
"2019-05-01",1,"Tanzania",20.14
"2019-05-02",1,"Tanzania",20.63
"2019-05-03",1,"Tanzania",20.59
"2019-05-04",1,"Tanzania",20.61
"2019-05-05",1,"Tanzania",20.41
"2019-05-06",1,"Tanzania",20.44
"2019-05-07",1,"Tanzania",20.34
"2019-05-08",1,"Tanzania",19.91
"2019-05-09",1,"Tanzania",19.49
"2019-05-10",1,"Tanzania",20.24
"2019-05-11",1,"Tanzania",20.16
"2019-05-12",1,"Tanzania",20.18
"2019-05-13",1,"Tanzania",20.19
"2019-05-14",1,"Tanzania",19.58
"2019-05-15",1,"Tanzania",19.81
"2019-05-16",1,"Tanzania",20
"2019-05-17",1,"Tanzania",20.01
"2019-05-18",1,"Tanzania",20.11
"2019-05-19",1,"Tanzania",20.13
"2019-05-20",1,"Tanzania",19.62
"2019-05-21",1,"Tanzania",19.36
"2019-05-22",1,"Tanzania",20.02
"2019-05-23",1,"Tanzania",19.46
"2019-05-24",1,"Tanzania",19.34
"2019-05-25",1,"Tanzania",19.99
"2019-05-26",1,"Tanzania",19.87
"2019-05-27",1,"Tanzania",19.81
"2019-05-28",1,"Tanzania",19.28
"2019-05-29",1,"Tanzania",19.18
"2019-05-30",1,"Tanzania",19.24
"2019-05-31",1,"Tanzania",19.46
"2019-06-01",1,"Tanzania",19.14
"2019-06-02",1,"Tanzania",18.14
"2019-06-03",1,"Tanzania",17.88
"2019-06-04",1,"Tanzania",17.75
"2019-06-05",1,"Tanzania",17.16
"2019-06-06",1,"Tanzania",17.73
"2019-06-07",1,"Tanzania",18.73
"2019-06-08",1,"Tanzania",18.79
"2019-06-09",1,"Tanzania",19.24
"2019-06-10",1,"Tanzania",17.9
"2019-06-11",1,"Tanzania",17.05
"2019-06-12",1,"Tanzania",18.47
"2019-06-13",1,"Tanzania",19.15
"2019-06-14",1,"Tanzania",19.09
"2019-06-15",1,"Tanzania",18.08
"2019-06-16",1,"Tanzania",16.62
"2019-06-17",1,"Tanzania",17.32
"2019-06-18",1,"Tanzania",17.42
"2019-06-19",1,"Tanzania",17.99
"2019-06-20",1,"Tanzania",18
"2019-06-21",1,"Tanzania",17.81
"2019-06-22",1,"Tanzania",17.31
"2019-06-23",1,"Tanzania",17.04
"2019-06-24",1,"Tanzania",17.37
"2019-06-25",1,"Tanzania",18.32
"2019-06-26",1,"Tanzania",18.47
"2019-06-27",1,"Tanzania",18.41
"2019-06-28",1,"Tanzania",17.53
"2019-06-29",1,"Tanzania",17.46
"2019-06-30",1,"Tanzania",17.37
"2019-07-01",1,"Tanzania",18.03
"2019-07-02",1,"Tanzania",18.59
"2019-07-03",1,"Tanzania",18.79
"2019-07-04",1,"Tanzania",18.59
"2019-07-05",1,"Tanzania",18.64
"2019-07-06",1,"Tanzania",18.22
"2019-07-07",1,"Tanzania",18.43
"2019-07-08",1,"Tanzania",18.69
"2019-07-09",1,"Tanzania",18.78
"2019-07-10",1,"Tanzania",18.78
"2019-07-11",1,"Tanzania",18.44
"2019-07-12",1,"Tanzania",17.66
"2019-07-13",1,"Tanzania",17.1
"2019-07-14",1,"Tanzania",17.3
"2019-07-15",1,"Tanzania",18.42
"2019-07-16",1,"Tanzania",17.39
"2019-07-17",1,"Tanzania",17.7
"2019-07-18",1,"Tanzania",18
"2019-07-19",1,"Tanzania",17.81
"2019-07-20",1,"Tanzania",16.89
"2019-07-21",1,"Tanzania",17.18
"2019-07-22",1,"Tanzania",18.21
"2019-07-23",1,"Tanzania",16.26
"2019-07-24",1,"Tanzania",15.17
"2019-07-25",1,"Tanzania",16.43
"2019-07-26",1,"Tanzania",16.68
"2019-07-27",1,"Tanzania",16.28
"2019-07-28",1,"Tanzania",16.94
"2019-07-29",1,"Tanzania",17.08
"2019-07-30",1,"Tanzania",17.3
"2019-07-31",1,"Tanzania",18.15
"2019-08-01",1,"Tanzania",18.9
"2019-08-02",1,"Tanzania",19.71
"2019-08-03",1,"Tanzania",19.53
"2019-08-04",1,"Tanzania",18.56
"2019-08-05",1,"Tanzania",18.46
"2019-08-06",1,"Tanzania",18.18
"2019-08-07",1,"Tanzania",18.8
"2019-08-08",1,"Tanzania",19.28
"2019-08-09",1,"Tanzania",18.17
"2019-08-10",1,"Tanzania",18.83
"2019-08-11",1,"Tanzania",18.63
"2019-08-12",1,"Tanzania",18.01
"2019-08-13",1,"Tanzania",17.36
"2019-08-14",1,"Tanzania",17.25
"2019-08-15",1,"Tanzania",18.22
"2019-08-16",1,"Tanzania",18.76
"2019-08-17",1,"Tanzania",17.85
"2019-08-18",1,"Tanzania",18.44
"2019-08-19",1,"Tanzania",18.04
"2019-08-20",1,"Tanzania",17.69
"2019-08-21",1,"Tanzania",18.82
"2019-08-22",1,"Tanzania",18.91
"2019-08-23",1,"Tanzania",18.46
"2019-08-24",1,"Tanzania",19.78
"2019-08-25",1,"Tanzania",19.97
"2019-08-26",1,"Tanzania",19.98
"2019-08-27",1,"Tanzania",19.78
"2019-08-28",1,"Tanzania",19.11
"2019-08-29",1,"Tanzania",18.72
"2019-08-30",1,"Tanzania",19.17
"2019-08-31",1,"Tanzania",18.96
"2019-09-01",1,"Tanzania",19.43
"2019-09-02",1,"Tanzania",19.73
"2019-09-03",1,"Tanzania",19.93
"2019-09-04",1,"Tanzania",19.26
"2019-09-05",1,"Tanzania",19.26
"2019-09-06",1,"Tanzania",19.44
"2019-09-07",1,"Tanzania",20.25
"2019-09-08",1,"Tanzania",19.44
"2019-09-09",1,"Tanzania",19.1
"2019-09-10",1,"Tanzania",20.12
"2019-09-11",1,"Tanzania",20.16
"2019-09-12",1,"Tanzania",20.07
"2019-09-13",1,"Tanzania",19.65
"2019-09-14",1,"Tanzania",20.23
"2019-09-15",1,"Tanzania",20.34
"2019-09-16",1,"Tanzania",20.24
"2019-09-17",1,"Tanzania",19.98
"2019-09-18",1,"Tanzania",19.68
"2019-09-19",1,"Tanzania",19.55
"2019-09-20",1,"Tanzania",19.68
