"","date","ID_1","NAME_1","t2m"
"1","2022-01-01",1,"Arusha",17.52
"2","2022-01-01",2,"Dar-Es-Salaam",27.23
"3","2022-01-01",3,"Dodoma",20.38
"4","2022-01-01",4,"Iringa",18.84
"5","2022-01-01",5,"Kagera",19.11
"6","2022-01-01",6,"Kaskazini-Pemba",28.2
"7","2022-01-01",7,"Kaskazini-Unguja",28.3
"8","2022-01-01",8,"Kigoma",19.44
"9","2022-01-01",9,"Kilimanjaro",18.59
"10","2022-01-01",10,"Kusini-Pemba",28.21
"11","2022-01-01",11,"Lindi",24.74
"12","2022-01-01",12,"Manyara",18.81
"13","2022-01-01",13,"Mara",18.37
"14","2022-01-01",14,"Mbeya",19.16
"15","2022-01-01",15,"Morogoro",24.29
"16","2022-01-01",16,"Mtwara",25.01
"17","2022-01-01",17,"Mwanza",20
"18","2022-01-01",18,"Pwani",25.77
"19","2022-01-01",19,"Rukwa",19.4
"20","2022-01-01",20,"Ruvuma",23.29
"21","2022-01-01",21,"Shinyanga",18.02
"22","2022-01-01",22,"Singida",18.69
"23","2022-01-01",23,"Tabora",18.46
"24","2022-01-01",24,"Tanga",22.59
"25","2022-01-01",25,"Zanzibar South and Central",28.14
"26","2022-01-01",26,"Zanzibar West",28.16
"27","2022-01-02",1,"Arusha",18.21
"28","2022-01-02",2,"Dar-Es-Salaam",26.88
"29","2022-01-02",3,"Dodoma",19.96
"30","2022-01-02",4,"Iringa",18.98
"31","2022-01-02",5,"Kagera",18.54
"32","2022-01-02",6,"Kaskazini-Pemba",27.98
"33","2022-01-02",7,"Kaskazini-Unguja",27.86
"34","2022-01-02",8,"Kigoma",19.61
"35","2022-01-02",9,"Kilimanjaro",19.62
"36","2022-01-02",10,"Kusini-Pemba",27.99
"37","2022-01-02",11,"Lindi",24.48
"38","2022-01-02",12,"Manyara",19.39
"39","2022-01-02",13,"Mara",18.61
"40","2022-01-02",14,"Mbeya",19.34
"41","2022-01-02",15,"Morogoro",23.73
"42","2022-01-02",16,"Mtwara",25.26
"43","2022-01-02",17,"Mwanza",20.45
"44","2022-01-02",18,"Pwani",25.57
"45","2022-01-02",19,"Rukwa",19.34
"46","2022-01-02",20,"Ruvuma",22.36
"47","2022-01-02",21,"Shinyanga",17.49
"48","2022-01-02",22,"Singida",17.89
"49","2022-01-02",23,"Tabora",18.38
"50","2022-01-02",24,"Tanga",22.37
"51","2022-01-02",25,"Zanzibar South and Central",27.67
"52","2022-01-02",26,"Zanzibar West",27.64
"53","2022-01-03",1,"Arusha",18.46
"54","2022-01-03",2,"Dar-Es-Salaam",26.7
"55","2022-01-03",3,"Dodoma",20.51
"56","2022-01-03",4,"Iringa",19.52
"57","2022-01-03",5,"Kagera",20.73
"58","2022-01-03",6,"Kaskazini-Pemba",27.74
"59","2022-01-03",7,"Kaskazini-Unguja",27.83
"60","2022-01-03",8,"Kigoma",21.7
"61","2022-01-03",9,"Kilimanjaro",18.76
"62","2022-01-03",10,"Kusini-Pemba",27.8
"63","2022-01-03",11,"Lindi",24.8
"64","2022-01-03",12,"Manyara",19.47
"65","2022-01-03",13,"Mara",20.63
"66","2022-01-03",14,"Mbeya",20.62
"67","2022-01-03",15,"Morogoro",23.37
"68","2022-01-03",16,"Mtwara",25.46
"69","2022-01-03",17,"Mwanza",22.86
"70","2022-01-03",18,"Pwani",25.89
"71","2022-01-03",19,"Rukwa",21.06
"72","2022-01-03",20,"Ruvuma",22.36
"73","2022-01-03",21,"Shinyanga",20.08
"74","2022-01-03",22,"Singida",20.61
"75","2022-01-03",23,"Tabora",20.93
"76","2022-01-03",24,"Tanga",23.05
"77","2022-01-03",25,"Zanzibar South and Central",27.72
"78","2022-01-03",26,"Zanzibar West",27.72
"79","2022-01-04",1,"Arusha",17.04
"80","2022-01-04",2,"Dar-Es-Salaam",26.6
"81","2022-01-04",3,"Dodoma",19.59
"82","2022-01-04",4,"Iringa",19.58
"83","2022-01-04",5,"Kagera",19.77
"84","2022-01-04",6,"Kaskazini-Pemba",27.67
"85","2022-01-04",7,"Kaskazini-Unguja",27.77
"86","2022-01-04",8,"Kigoma",19.5
"87","2022-01-04",9,"Kilimanjaro",17.96
"88","2022-01-04",10,"Kusini-Pemba",27.68
"89","2022-01-04",11,"Lindi",24.89
"90","2022-01-04",12,"Manyara",18.21
"91","2022-01-04",13,"Mara",19.01
"92","2022-01-04",14,"Mbeya",19.29
"93","2022-01-04",15,"Morogoro",24.05
"94","2022-01-04",16,"Mtwara",25.36
"95","2022-01-04",17,"Mwanza",21.27
"96","2022-01-04",18,"Pwani",25.64
"97","2022-01-04",19,"Rukwa",19.85
"98","2022-01-04",20,"Ruvuma",22.47
"99","2022-01-04",21,"Shinyanga",18.26
"100","2022-01-04",22,"Singida",19.46
"101","2022-01-04",23,"Tabora",19.15
"102","2022-01-04",24,"Tanga",22.72
"103","2022-01-04",25,"Zanzibar South and Central",27.56
"104","2022-01-04",26,"Zanzibar West",27.57
"105","2022-01-05",1,"Arusha",17.97
"106","2022-01-05",2,"Dar-Es-Salaam",26.71
"107","2022-01-05",3,"Dodoma",19.88
"108","2022-01-05",4,"Iringa",19.3
"109","2022-01-05",5,"Kagera",19.47
"110","2022-01-05",6,"Kaskazini-Pemba",27.65
"111","2022-01-05",7,"Kaskazini-Unguja",27.58
"112","2022-01-05",8,"Kigoma",19.94
"113","2022-01-05",9,"Kilimanjaro",18.01
"114","2022-01-05",10,"Kusini-Pemba",27.69
"115","2022-01-05",11,"Lindi",24.67
"116","2022-01-05",12,"Manyara",18.6
"117","2022-01-05",13,"Mara",20.64
"118","2022-01-05",14,"Mbeya",19.86
"119","2022-01-05",15,"Morogoro",23.79
"120","2022-01-05",16,"Mtwara",25.39
"121","2022-01-05",17,"Mwanza",21.6
"122","2022-01-05",18,"Pwani",25.18
"123","2022-01-05",19,"Rukwa",19.72
"124","2022-01-05",20,"Ruvuma",23.13
"125","2022-01-05",21,"Shinyanga",18.62
"126","2022-01-05",22,"Singida",19.41
"127","2022-01-05",23,"Tabora",19.71
"128","2022-01-05",24,"Tanga",22.01
"129","2022-01-05",25,"Zanzibar South and Central",27.56
"130","2022-01-05",26,"Zanzibar West",27.49
"131","2022-01-06",1,"Arusha",19.17
"132","2022-01-06",2,"Dar-Es-Salaam",26.91
"133","2022-01-06",3,"Dodoma",20.84
"134","2022-01-06",4,"Iringa",19.61
"135","2022-01-06",5,"Kagera",19.82
"136","2022-01-06",6,"Kaskazini-Pemba",28.04
"137","2022-01-06",7,"Kaskazini-Unguja",28.1
"138","2022-01-06",8,"Kigoma",19.9
"139","2022-01-06",9,"Kilimanjaro",20.41
"140","2022-01-06",10,"Kusini-Pemba",28.09
"141","2022-01-06",11,"Lindi",24.95
"142","2022-01-06",12,"Manyara",19.49
"143","2022-01-06",13,"Mara",20.09
"144","2022-01-06",14,"Mbeya",19.23
"145","2022-01-06",15,"Morogoro",24.21
"146","2022-01-06",16,"Mtwara",25.61
"147","2022-01-06",17,"Mwanza",21.76
"148","2022-01-06",18,"Pwani",25.94
"149","2022-01-06",19,"Rukwa",18.99
"150","2022-01-06",20,"Ruvuma",22.75
"151","2022-01-06",21,"Shinyanga",19.02
"152","2022-01-06",22,"Singida",19.59
"153","2022-01-06",23,"Tabora",19.24
"154","2022-01-06",24,"Tanga",22.8
"155","2022-01-06",25,"Zanzibar South and Central",28.06
"156","2022-01-06",26,"Zanzibar West",28.09
"157","2022-01-07",1,"Arusha",19.78
"158","2022-01-07",2,"Dar-Es-Salaam",27.22
"159","2022-01-07",3,"Dodoma",21.51
"160","2022-01-07",4,"Iringa",20
"161","2022-01-07",5,"Kagera",20.03
"162","2022-01-07",6,"Kaskazini-Pemba",28.13
"163","2022-01-07",7,"Kaskazini-Unguja",27.97
"164","2022-01-07",8,"Kigoma",20.36
"165","2022-01-07",9,"Kilimanjaro",20.46
"166","2022-01-07",10,"Kusini-Pemba",28.17
"167","2022-01-07",11,"Lindi",25.24
"168","2022-01-07",12,"Manyara",20.46
"169","2022-01-07",13,"Mara",19.94
"170","2022-01-07",14,"Mbeya",20.81
"171","2022-01-07",15,"Morogoro",24.6
"172","2022-01-07",16,"Mtwara",25.8
"173","2022-01-07",17,"Mwanza",22.14
