"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Alabama",16.44
"2023-01-01",2,"2","Alaska",0.9
"2023-01-01",3,"2","Alaska",-15.72
"2023-01-01",4,"3","Arizona",12.44
"2023-01-01",5,"4","Arkansas",14.09
"2023-01-01",6,"5","California",10
"2023-01-01",7,"6","Colorado",3.95
"2023-01-01",8,"7","Connecticut",9.1
"2023-01-01",9,"8","Delaware",12.18
"2023-01-01",10,"9","District of Columbia",12.88
"2023-01-01",11,"10","Florida",21.06
"2023-01-01",12,"11","Georgia",17.12
"2023-01-01",13,"12","Hawaii",23.09
"2023-01-01",14,"13","Idaho",-0.35
"2023-01-01",15,"14","Illinois",4.68
"2023-01-01",16,"15","Indiana",4.25
"2023-01-01",17,"16","Iowa",3.71
"2023-01-01",18,"17","Kansas",7.61
"2023-01-01",19,"18","Kentucky",10.62
"2023-01-01",20,"19","Louisiana",15.96
"2023-01-01",21,"20","Maine",5.26
"2023-01-01",22,"21","Maryland",11.42
"2023-01-01",23,"22","Massachusetts",10.16
"2023-01-01",24,"23","Michigan",0.64
"2023-01-01",25,"24","Minnesota",-1.87
"2023-01-01",26,"25","Mississippi",16.07
"2023-01-01",27,"26","Missouri",9.91
"2023-01-01",28,"27","Montana",-1.75
"2023-01-01",29,"28","Nebraska",3.88
"2023-01-01",30,"29","Nevada",3.79
"2023-01-01",31,"30","New Hampshire",7.77
"2023-01-01",32,"31","New Jersey",11.05
"2023-01-01",33,"32","New Mexico",10.11
"2023-01-01",34,"33","New York",8.23
"2023-01-01",35,"34","North Carolina",15.75
"2023-01-01",36,"35","North Dakota",-8
"2023-01-01",37,"36","Ohio",7.26
"2023-01-01",38,"37","Oklahoma",13.69
"2023-01-01",39,"38","Oregon",3.13
"2023-01-01",40,"39","Pennsylvania",9.33
"2023-01-01",41,"40","Rhode Island",11
"2023-01-01",42,"41","South Carolina",17.37
"2023-01-01",43,"42","South Dakota",-3.31
"2023-01-01",44,"43","Tennessee",12.01
"2023-01-01",45,"44","Texas",19.34
"2023-01-01",46,"45","Utah",3.9
"2023-01-01",47,"46","Vermont",7.84
"2023-01-01",48,"47","Virginia",12.81
"2023-01-01",49,"48","Washington",3.2
"2023-01-01",50,"49","West Virginia",11.59
"2023-01-01",51,"50","Wisconsin",-0.72
"2023-01-01",52,"51","Wyoming",-1.86
"2023-01-02",1,"1","Alabama",18.2
"2023-01-02",2,"2","Alaska",1.66
"2023-01-02",3,"2","Alaska",-11.86
"2023-01-02",4,"3","Arizona",7.03
"2023-01-02",5,"4","Arkansas",17.91
"2023-01-02",6,"5","California",8.69
"2023-01-02",7,"6","Colorado",2.48
"2023-01-02",8,"7","Connecticut",4.77
"2023-01-02",9,"8","Delaware",9.23
"2023-01-02",10,"9","District of Columbia",9.6
"2023-01-02",11,"10","Florida",20.75
"2023-01-02",12,"11","Georgia",15.68
"2023-01-02",13,"12","Hawaii",22.83
"2023-01-02",14,"13","Idaho",-2.79
"2023-01-02",15,"14","Illinois",8.45
"2023-01-02",16,"15","Indiana",9.57
"2023-01-02",17,"16","Iowa",2.17
"2023-01-02",18,"17","Kansas",7.91
"2023-01-02",19,"18","Kentucky",13.18
"2023-01-02",20,"19","Louisiana",20.04
"2023-01-02",21,"20","Maine",1.8
"2023-01-02",22,"21","Maryland",9.05
"2023-01-02",23,"22","Massachusetts",4.86
"2023-01-02",24,"23","Michigan",2.58
"2023-01-02",25,"24","Minnesota",-4.51
"2023-01-02",26,"25","Mississippi",19.21
"2023-01-02",27,"26","Missouri",11.44
"2023-01-02",28,"27","Montana",-4.26
"2023-01-02",29,"28","Nebraska",1.87
"2023-01-02",30,"29","Nevada",-0.11
"2023-01-02",31,"30","New Hampshire",2.99
"2023-01-02",32,"31","New Jersey",7.81
"2023-01-02",33,"32","New Mexico",8.9
"2023-01-02",34,"33","New York",3.17
"2023-01-02",35,"34","North Carolina",12.11
"2023-01-02",36,"35","North Dakota",-10.12
"2023-01-02",37,"36","Ohio",9.26
"2023-01-02",38,"37","Oklahoma",15.05
"2023-01-02",39,"38","Oregon",0.93
"2023-01-02",40,"39","Pennsylvania",7.38
"2023-01-02",41,"40","Rhode Island",5.77
"2023-01-02",42,"41","South Carolina",14.3
"2023-01-02",43,"42","South Dakota",-4.21
"2023-01-02",44,"43","Tennessee",14.65
"2023-01-02",45,"44","Texas",21.02
"2023-01-02",46,"45","Utah",1.74
"2023-01-02",47,"46","Vermont",1.86
"2023-01-02",48,"47","Virginia",10.59
"2023-01-02",49,"48","Washington",1.44
"2023-01-02",50,"49","West Virginia",11.14
"2023-01-02",51,"50","Wisconsin",0.27
"2023-01-02",52,"51","Wyoming",-3.63
"2023-01-03",1,"1","Alabama",21.07
"2023-01-03",2,"2","Alaska",0.19
"2023-01-03",3,"2","Alaska",-11.96
"2023-01-03",4,"3","Arizona",5.91
"2023-01-03",5,"4","Arkansas",19.82
"2023-01-03",6,"5","California",5.36
"2023-01-03",7,"6","Colorado",-3.33
"2023-01-03",8,"7","Connecticut",4.44
"2023-01-03",9,"8","Delaware",10.84
"2023-01-03",10,"9","District of Columbia",13.07
"2023-01-03",11,"10","Florida",21.67
"2023-01-03",12,"11","Georgia",18.16
"2023-01-03",13,"12","Hawaii",23.3
"2023-01-03",14,"13","Idaho",-5.36
"2023-01-03",15,"14","Illinois",9.91
"2023-01-03",16,"15","Indiana",11.62
"2023-01-03",17,"16","Iowa",1.52
"2023-01-03",18,"17","Kansas",6.26
"2023-01-03",19,"18","Kentucky",16.68
"2023-01-03",20,"19","Louisiana",22.64
"2023-01-03",21,"20","Maine",0.64
"2023-01-03",22,"21","Maryland",11.24
"2023-01-03",23,"22","Massachusetts",3.63
"2023-01-03",24,"23","Michigan",1.47
"2023-01-03",25,"24","Minnesota",-6.53
"2023-01-03",26,"25","Mississippi",22.24
"2023-01-03",27,"26","Missouri",14.3
"2023-01-03",28,"27","Montana",-5.75
"2023-01-03",29,"28","Nebraska",-0.86
"2023-01-03",30,"29","Nevada",-3.19
"2023-01-03",31,"30","New Hampshire",2.01
"2023-01-03",32,"31","New Jersey",10.28
"2023-01-03",33,"32","New Mexico",3.79
"2023-01-03",34,"33","New York",3.35
"2023-01-03",35,"34","North Carolina",13.4
"2023-01-03",36,"35","North Dakota",-10.68
"2023-01-03",37,"36","Ohio",10.24
"2023-01-03",38,"37","Oklahoma",15.9
"2023-01-03",39,"38","Oregon",-2.04
"2023-01-03",40,"39","Pennsylvania",8.48
"2023-01-03",41,"40","Rhode Island",4.81
"2023-01-03",42,"41","South Carolina",15.54
"2023-01-03",43,"42","South Dakota",-3.42
"2023-01-03",44,"43","Tennessee",17.46
"2023-01-03",45,"44","Texas",19.74
"2023-01-03",46,"45","Utah",-1.42
"2023-01-03",47,"46","Vermont",2.35
"2023-01-03",48,"47","Virginia",13.2
"2023-01-03",49,"48","Washington",-0.08
"2023-01-03",50,"49","West Virginia",14.43
"2023-01-03",51,"50","Wisconsin",-1.05
"2023-01-03",52,"51","Wyoming",-4.92
"2023-01-04",1,"1","Alabama",19.71
"2023-01-04",2,"2","Alaska",0.12
"2023-01-04",3,"2","Alaska",-13.21
"2023-01-04",4,"3","Arizona",7.37
"2023-01-04",5,"4","Arkansas",16.18
"2023-01-04",6,"5","California",7.74
"2023-01-04",7,"6","Colorado",-4.96
"2023-01-04",8,"7","Connecticut",7.56
"2023-01-04",9,"8","Delaware",15
"2023-01-04",10,"9","District of Columbia",17.3
"2023-01-04",11,"10","Florida",22.94
"2023-01-04",12,"11","Georgia",19.4
"2023-01-04",13,"12","Hawaii",22.78
"2023-01-04",14,"13","Idaho",-5.61
"2023-01-04",15,"14","Illinois",12.91
"2023-01-04",16,"15","Indiana",14.81
"2023-01-04",17,"16","Iowa",1.84
"2023-01-04",18,"17","Kansas",1.29
"2023-01-04",19,"18","Kentucky",14.45
"2023-01-04",20,"19","Louisiana",21.15
"2023-01-04",21,"20","Maine",0.94
"2023-01-04",22,"21","Maryland",14.73
"2023-01-04",23,"22","Massachusetts",4.58
"2023-01-04",24,"23","Michigan",2.55
"2023-01-04",25,"24","Minnesota",-6.03
"2023-01-04",26,"25","Mississippi",20.16
"2023-01-04",27,"26","Missouri",9.67
"2023-01-04",28,"27","Montana",-6.73
"2023-01-04",29,"28","Nebraska",-3.76
"2023-01-04",30,"29","Nevada",-1.64
"2023-01-04",31,"30","New Hampshire",0.75
"2023-01-04",32,"31","New Jersey",12.47
"2023-01-04",33,"32","New Mexico",3.18
"2023-01-04",34,"33","New York",5.59
"2023-01-04",35,"34","North Carolina",17.28
"2023-01-04",36,"35","North Dakota",-11.98
"2023-01-04",37,"36","Ohio",13.88
"2023-01-04",38,"37","Oklahoma",8.16
"2023-01-04",39,"38","Oregon",-0.1
"2023-01-04",40,"39","Pennsylvania",11.83
"2023-01-04",41,"40","Rhode Island",8.79
"2023-01-04",42,"41","South Carolina",17.65
"2023-01-04",43,"42","South Dakota",-6.1
"2023-01-04",44,"43","Tennessee",15.61
"2023-01-04",45,"44","Texas",15.72
"2023-01-04",46,"45","Utah",-2.58
"2023-01-04",47,"46","Vermont",1.45
"2023-01-04",48,"47","Virginia",17.15
"2023-01-04",49,"48","Washington",0.08
"2023-01-04",50,"49","West Virginia",15.31
"2023-01-04",51,"50","Wisconsin",0.64
"2023-01-04",52,"51","Wyoming",-7.1
"2023-01-05",1,"1","Alabama",15.7
"2023-01-05",2,"2","Alaska",0.12
"2023-01-05",3,"2","Alaska",-12.23
"2023-01-05",4,"3","Arizona",10.02
"2023-01-05",5,"4","Arkansas",9.61
"2023-01-05",6,"5","California",10.42
"2023-01-05",7,"6","Colorado",-4.61
"2023-01-05",8,"7","Connecticut",10.6
"2023-01-05",9,"8","Delaware",15.69
"2023-01-05",10,"9","District of Columbia",16.74
"2023-01-05",11,"10","Florida",22.04
"2023-01-05",12,"11","Georgia",17.35
"2023-01-05",13,"12","Hawaii",21.45
"2023-01-05",14,"13","Idaho",-4.14
"2023-01-05",15,"14","Illinois",2.69
"2023-01-05",16,"15","Indiana",4.77
"2023-01-05",17,"16","Iowa",-0.88
"2023-01-05",18,"17","Kansas",2.89
"2023-01-05",19,"18","Kentucky",10.99
"2023-01-05",20,"19","Louisiana",16.78
"2023-01-05",21,"20","Maine",0.69
"2023-01-05",22,"21","Maryland",14.98
"2023-01-05",23,"22","Massachusetts",5.61
"2023-01-05",24,"23","Michigan",1.58
"2023-01-05",25,"24","Minnesota",-5.15
"2023-01-05",26,"25","Mississippi",14.82
"2023-01-05",27,"26","Missouri",4.7
"2023-01-05",28,"27","Montana",-6.7
"2023-01-05",29,"28","Nebraska",-2.22
"2023-01-05",30,"29","Nevada",1.68
"2023-01-05",31,"30","New Hampshire",3.35
"2023-01-05",32,"31","New Jersey",14.36
"2023-01-05",33,"32","New Mexico",5.16
"2023-01-05",34,"33","New York",7.05
"2023-01-05",35,"34","North Carolina",16.65
