"date","ID_0","NAME_0","t2m"
"2020-01-01",1,"South Africa",19.3
"2020-01-02",1,"South Africa",19.57
"2020-01-03",1,"South Africa",19.89
"2020-01-04",1,"South Africa",19.99
"2020-01-05",1,"South Africa",19.74
"2020-01-06",1,"South Africa",19.6
"2020-01-07",1,"South Africa",20.64
"2020-01-08",1,"South Africa",19.29
"2020-01-09",1,"South Africa",19.12
"2020-01-10",1,"South Africa",17.94
"2020-01-11",1,"South Africa",18.67
"2020-01-12",1,"South Africa",19.73
"2020-01-13",1,"South Africa",20.1
"2020-01-14",1,"South Africa",19.85
"2020-01-15",1,"South Africa",20.67
"2020-01-16",1,"South Africa",21.43
"2020-01-17",1,"South Africa",21.95
"2020-01-18",1,"South Africa",20.73
"2020-01-19",1,"South Africa",17.75
"2020-01-20",1,"South Africa",17.05
"2020-01-21",1,"South Africa",17.6
"2020-01-22",1,"South Africa",18.14
"2020-01-23",1,"South Africa",17.84
"2020-01-24",1,"South Africa",18.2
"2020-01-25",1,"South Africa",18.49
"2020-01-26",1,"South Africa",18.57
"2020-01-27",1,"South Africa",15.14
"2020-01-28",1,"South Africa",15.06
"2020-01-29",1,"South Africa",17.4
"2020-01-30",1,"South Africa",18.98
"2020-01-31",1,"South Africa",20.53
"2020-02-01",1,"South Africa",20.65
"2020-02-02",1,"South Africa",21.36
"2020-02-03",1,"South Africa",20.24
"2020-02-04",1,"South Africa",20.83
"2020-02-05",1,"South Africa",21.43
"2020-02-06",1,"South Africa",19.55
"2020-02-07",1,"South Africa",18.82
"2020-02-08",1,"South Africa",18.56
"2020-02-09",1,"South Africa",18.22
"2020-02-10",1,"South Africa",18.65
"2020-02-11",1,"South Africa",18.24
"2020-02-12",1,"South Africa",18.75
"2020-02-13",1,"South Africa",18.57
"2020-02-14",1,"South Africa",18.73
"2020-02-15",1,"South Africa",19.95
"2020-02-16",1,"South Africa",21.11
"2020-02-17",1,"South Africa",19.35
"2020-02-18",1,"South Africa",19.31
"2020-02-19",1,"South Africa",19.36
"2020-02-20",1,"South Africa",20.3
"2020-02-21",1,"South Africa",19.63
"2020-02-22",1,"South Africa",19.98
"2020-02-23",1,"South Africa",18.15
"2020-02-24",1,"South Africa",15.73
"2020-02-25",1,"South Africa",17.05
"2020-02-26",1,"South Africa",18.89
"2020-02-27",1,"South Africa",17.91
