"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Eastern Cape",14.32
"2023-01-01",2,"2","Free State",13.67
"2023-01-01",3,"3","Gauteng",15.24
"2023-01-01",4,"4","KwaZulu-Natal",15.65
"2023-01-01",5,"5","Limpopo",18.19
"2023-01-01",6,"6","Mpumalanga",15.75
"2023-01-01",7,"7","North West",16.2
"2023-01-01",8,"8","Northern Cape",19.93
"2023-01-01",9,"9","Western Cape (isolated islands)",5.97
"2023-01-01",10,"10","Western Cape",17.58
"2023-01-02",1,"1","Eastern Cape",17.01
"2023-01-02",2,"2","Free State",15.47
"2023-01-02",3,"3","Gauteng",13.71
"2023-01-02",4,"4","KwaZulu-Natal",15.77
"2023-01-02",5,"5","Limpopo",18.32
"2023-01-02",6,"6","Mpumalanga",15.07
"2023-01-02",7,"7","North West",15.98
"2023-01-02",8,"8","Northern Cape",22.82
"2023-01-02",9,"9","Western Cape (isolated islands)",4.49
"2023-01-02",10,"10","Western Cape",20.31
"2023-01-03",1,"1","Eastern Cape",19.04
"2023-01-03",2,"2","Free State",15.65
"2023-01-03",3,"3","Gauteng",14.96
"2023-01-03",4,"4","KwaZulu-Natal",17.62
"2023-01-03",5,"5","Limpopo",19.27
"2023-01-03",6,"6","Mpumalanga",15.94
"2023-01-03",7,"7","North West",17.26
"2023-01-03",8,"8","Northern Cape",21.25
"2023-01-03",9,"9","Western Cape (isolated islands)",8.13
"2023-01-03",10,"10","Western Cape",19.84
"2023-01-04",1,"1","Eastern Cape",19.48
"2023-01-04",2,"2","Free State",16.58
"2023-01-04",3,"3","Gauteng",16.51
"2023-01-04",4,"4","KwaZulu-Natal",17.93
"2023-01-04",5,"5","Limpopo",20.89
"2023-01-04",6,"6","Mpumalanga",16.46
"2023-01-04",7,"7","North West",18.84
"2023-01-04",8,"8","Northern Cape",19.69
"2023-01-04",9,"9","Western Cape (isolated islands)",10.09
"2023-01-04",10,"10","Western Cape",18.35
"2023-01-05",1,"1","Eastern Cape",15.01
"2023-01-05",2,"2","Free State",16.69
"2023-01-05",3,"3","Gauteng",17.51
"2023-01-05",4,"4","KwaZulu-Natal",19.31
"2023-01-05",5,"5","Limpopo",22.57
"2023-01-05",6,"6","Mpumalanga",18.45
"2023-01-05",7,"7","North West",18.42
"2023-01-05",8,"8","Northern Cape",16.62
"2023-01-05",9,"9","Western Cape (isolated islands)",4.64
"2023-01-05",10,"10","Western Cape",14.13
"2023-01-06",1,"1","Eastern Cape",11.53
"2023-01-06",2,"2","Free State",14.23
"2023-01-06",3,"3","Gauteng",16.89
"2023-01-06",4,"4","KwaZulu-Natal",16.34
"2023-01-06",5,"5","Limpopo",21.15
"2023-01-06",6,"6","Mpumalanga",18.17
"2023-01-06",7,"7","North West",16.63
"2023-01-06",8,"8","Northern Cape",14.57
"2023-01-06",9,"9","Western Cape (isolated islands)",8.47
"2023-01-06",10,"10","Western Cape",13.83
"2023-01-07",1,"1","Eastern Cape",9.81
"2023-01-07",2,"2","Free State",11.54
"2023-01-07",3,"3","Gauteng",13.73
"2023-01-07",4,"4","KwaZulu-Natal",13.23
"2023-01-07",5,"5","Limpopo",18.03
"2023-01-07",6,"6","Mpumalanga",13.69
"2023-01-07",7,"7","North West",16.31
"2023-01-07",8,"8","Northern Cape",15.91
"2023-01-07",9,"9","Western Cape (isolated islands)",8.05
"2023-01-07",10,"10","Western Cape",13.79
"2023-01-08",1,"1","Eastern Cape",12.15
"2023-01-08",2,"2","Free State",13.16
"2023-01-08",3,"3","Gauteng",14.48
"2023-01-08",4,"4","KwaZulu-Natal",13.42
"2023-01-08",5,"5","Limpopo",17.65
"2023-01-08",6,"6","Mpumalanga",12.99
"2023-01-08",7,"7","North West",17.67
"2023-01-08",8,"8","Northern Cape",18.14
"2023-01-08",9,"9","Western Cape (isolated islands)",8.04
