"date","ID_1","NAME_1","t2m"
"2017-01-01",1,"Central",19.35
"2017-01-01",2,"Copperbelt",18.73
"2017-01-01",3,"Eastern",21.65
"2017-01-01",4,"Luapula",19.9
"2017-01-01",5,"Lusaka",20.93
"2017-01-01",6,"Muchinga",20.17
"2017-01-01",7,"North-Western",18.39
"2017-01-01",8,"Northern",19.38
"2017-01-01",9,"Southern",20.13
"2017-01-01",10,"Western",19.72
"2017-01-02",1,"Central",19.22
"2017-01-02",2,"Copperbelt",18.49
"2017-01-02",3,"Eastern",21.62
"2017-01-02",4,"Luapula",19.17
"2017-01-02",5,"Lusaka",21.1
"2017-01-02",6,"Muchinga",20.18
"2017-01-02",7,"North-Western",18.51
"2017-01-02",8,"Northern",19.37
"2017-01-02",9,"Southern",20.22
"2017-01-02",10,"Western",20.28
"2017-01-03",1,"Central",18.99
"2017-01-03",2,"Copperbelt",17.93
"2017-01-03",3,"Eastern",20.66
"2017-01-03",4,"Luapula",19.1
"2017-01-03",5,"Lusaka",20.63
"2017-01-03",6,"Muchinga",19.28
"2017-01-03",7,"North-Western",18.54
"2017-01-03",8,"Northern",18.53
"2017-01-03",9,"Southern",20.51
"2017-01-03",10,"Western",20.08
"2017-01-04",1,"Central",19.58
"2017-01-04",2,"Copperbelt",18.49
"2017-01-04",3,"Eastern",22.01
"2017-01-04",4,"Luapula",19.94
"2017-01-04",5,"Lusaka",20.97
"2017-01-04",6,"Muchinga",20.15
"2017-01-04",7,"North-Western",19.07
"2017-01-04",8,"Northern",18.93
"2017-01-04",9,"Southern",20.03
"2017-01-04",10,"Western",19.59
"2017-01-05",1,"Central",19.91
"2017-01-05",2,"Copperbelt",19.07
"2017-01-05",3,"Eastern",21.74
"2017-01-05",4,"Luapula",20.22
"2017-01-05",5,"Lusaka",21.74
"2017-01-05",6,"Muchinga",20.33
"2017-01-05",7,"North-Western",18.78
"2017-01-05",8,"Northern",19.59
"2017-01-05",9,"Southern",19.9
"2017-01-05",10,"Western",19.52
"2017-01-06",1,"Central",19.37
"2017-01-06",2,"Copperbelt",18.78
"2017-01-06",3,"Eastern",21.79
"2017-01-06",4,"Luapula",19.3
"2017-01-06",5,"Lusaka",20.96
"2017-01-06",6,"Muchinga",20.11
"2017-01-06",7,"North-Western",18.74
"2017-01-06",8,"Northern",18.77
"2017-01-06",9,"Southern",20.02
"2017-01-06",10,"Western",20.04
"2017-01-07",1,"Central",20.45
"2017-01-07",2,"Copperbelt",19.17
"2017-01-07",3,"Eastern",22.51
"2017-01-07",4,"Luapula",20.3
"2017-01-07",5,"Lusaka",22.29
"2017-01-07",6,"Muchinga",20.71
"2017-01-07",7,"North-Western",19.15
"2017-01-07",8,"Northern",19.38
"2017-01-07",9,"Southern",21.33
"2017-01-07",10,"Western",20.44
"2017-01-08",1,"Central",19.62
"2017-01-08",2,"Copperbelt",18.22
"2017-01-08",3,"Eastern",21.06
"2017-01-08",4,"Luapula",19.6
