"date","ID_1","GID_1","NAME_1","t2m"
"2023-01-01",1,"1","Bulawayo",16.02
"2023-01-01",2,"2","Harare",16.4
"2023-01-01",3,"3","Manicaland",17.96
"2023-01-01",4,"4","Mashonaland Central",19.41
"2023-01-01",5,"5","Mashonaland East",17.39
"2023-01-01",6,"6","Mashonaland West",19.81
"2023-01-01",7,"7","Masvingo",19.58
"2023-01-01",8,"8","Matabeleland North",19.47
"2023-01-01",9,"9","Matabeleland South",18.39
"2023-01-01",10,"10","Midlands",18.44
"2023-01-02",1,"1","Bulawayo",15.86
"2023-01-02",2,"2","Harare",16.63
"2023-01-02",3,"3","Manicaland",18.24
"2023-01-02",4,"4","Mashonaland Central",19.9
"2023-01-02",5,"5","Mashonaland East",17.89
"2023-01-02",6,"6","Mashonaland West",19.51
"2023-01-02",7,"7","Masvingo",20.97
"2023-01-02",8,"8","Matabeleland North",18.67
"2023-01-02",9,"9","Matabeleland South",18.59
"2023-01-02",10,"10","Midlands",18.78
"2023-01-03",1,"1","Bulawayo",16.67
"2023-01-03",2,"2","Harare",16.32
"2023-01-03",3,"3","Manicaland",18.42
"2023-01-03",4,"4","Mashonaland Central",20.01
"2023-01-03",5,"5","Mashonaland East",18.07
"2023-01-03",6,"6","Mashonaland West",19.65
"2023-01-03",7,"7","Masvingo",20.74
"2023-01-03",8,"8","Matabeleland North",18.69
"2023-01-03",9,"9","Matabeleland South",19.93
"2023-01-03",10,"10","Midlands",18.19
"2023-01-04",1,"1","Bulawayo",17.08
"2023-01-04",2,"2","Harare",16.84
"2023-01-04",3,"3","Manicaland",18.8
"2023-01-04",4,"4","Mashonaland Central",20.17
"2023-01-04",5,"5","Mashonaland East",18.12
"2023-01-04",6,"6","Mashonaland West",20
"2023-01-04",7,"7","Masvingo",21.73
"2023-01-04",8,"8","Matabeleland North",19.46
"2023-01-04",9,"9","Matabeleland South",20.8
"2023-01-04",10,"10","Midlands",18.71
"2023-01-05",1,"1","Bulawayo",17.74
"2023-01-05",2,"2","Harare",17.81
"2023-01-05",3,"3","Manicaland",19.75
