"date","ID_2","NAME_2","t2m"
"2003-01-01",1,"Bulawayo",17.34
"2003-01-01",2,"Harare",16.96
"2003-01-01",3,"Buhera",19.52
"2003-01-01",4,"Chimanimani",18.79
"2003-01-01",5,"Chipinge",21.36
"2003-01-01",6,"Makoni",16.22
"2003-01-01",7,"Mutare",19
"2003-01-01",8,"Mutasa",16.31
"2003-01-01",9,"Nyanga",17.64
"2003-01-01",10,"Bindura",17.62
"2003-01-01",11,"Centenary",20.89
"2003-01-01",12,"Guruve",19.99
"2003-01-01",13,"Mazowe",16.71
"2003-01-01",14,"Mount Darwin",20.24
"2003-01-01",15,"Rushinga",21.3
"2003-01-01",16,"Shamva",18.24
"2003-01-01",17,"Chikomba",16.38
"2003-01-01",18,"Goromonzi",16.53
"2003-01-01",19,"Marondera",15.59
"2003-01-01",20,"Mudzi",21.21
"2003-01-01",21,"Murehwa",16.39
"2003-01-01",22,"Mutoko",18.1
"2003-01-01",23,"Seke",17.14
"2003-01-01",24,"UMP",19.08
"2003-01-01",25,"Wedza",16.67
"2003-01-01",26,"Chegutu",18.43
"2003-01-01",27,"Hurungwe",20.16
"2003-01-01",28,"Kadoma",19.72
"2003-01-01",29,"Kariba",23.04
"2003-01-01",30,"Makonde",19.08
"2003-01-01",31,"Zvimba",17.98
"2003-01-01",32,"Bikita",19.98
"2003-01-01",33,"Chiredzi",24.14
"2003-01-01",34,"Chivi",19.97
"2003-01-01",35,"Gutu",17.14
"2003-01-01",36,"Masvingo",19.26
"2003-01-01",37,"Mwenezi",23.54
"2003-01-01",38,"Zaka",21.11
"2003-01-01",39,"Binga",21.36
"2003-01-01",40,"Bubi",18.39
"2003-01-01",41,"Hwange",20.09
"2003-01-01",42,"Lupane",20.24
"2003-01-01",43,"Nkayi",18.68
"2003-01-01",44,"Tsholotsho",20.46
"2003-01-01",45,"Umguza",18.73
"2003-01-01",46,"Beitbridge",24.5
"2003-01-01",47,"Bulilima (North)",19.03
"2003-01-01",48,"Gwanda",21.67
"2003-01-01",49,"Insiza",17.87
"2003-01-01",50,"Mangwe (South)",19.89
"2003-01-01",51,"Matobo",19.9
"2003-01-01",52,"Umzingwane",17.29
"2003-01-01",53,"Chirumhanzu",16.49
"2003-01-01",54,"Gokwe North",21.39
"2003-01-01",55,"Gokwe South",20.19
"2003-01-01",56,"Gweru",16.97
"2003-01-01",57,"Kwekwe",18.34
"2003-01-01",58,"Mberengwa",20.05
"2003-01-01",59,"Shurugwi",16.64
"2003-01-01",60,"Zvishavane",18.28
"2003-01-02",1,"Bulawayo",16.11
"2003-01-02",2,"Harare",16.62
"2003-01-02",3,"Buhera",20.46
"2003-01-02",4,"Chimanimani",19.08
"2003-01-02",5,"Chipinge",21.99
"2003-01-02",6,"Makoni",17.42
"2003-01-02",7,"Mutare",19.68
"2003-01-02",8,"Mutasa",17.28
"2003-01-02",9,"Nyanga",18.7
"2003-01-02",10,"Bindura",18.49
"2003-01-02",11,"Centenary",21.33
"2003-01-02",12,"Guruve",21.24
"2003-01-02",13,"Mazowe",17.61
"2003-01-02",14,"Mount Darwin",19.94
"2003-01-02",15,"Rushinga",21.79
"2003-01-02",16,"Shamva",19.78
"2003-01-02",17,"Chikomba",16.51
"2003-01-02",18,"Goromonzi",16.6
"2003-01-02",19,"Marondera",15.8
"2003-01-02",20,"Mudzi",22.92
"2003-01-02",21,"Murehwa",17.26
"2003-01-02",22,"Mutoko",20.4
"2003-01-02",23,"Seke",16.8
"2003-01-02",24,"UMP",20.87
"2003-01-02",25,"Wedza",17.19
"2003-01-02",26,"Chegutu",18.32
"2003-01-02",27,"Hurungwe",21.63
"2003-01-02",28,"Kadoma",19.87
"2003-01-02",29,"Kariba",23.75
"2003-01-02",30,"Makonde",20.81
"2003-01-02",31,"Zvimba",18.92
"2003-01-02",32,"Bikita",21.62
"2003-01-02",33,"Chiredzi",24.35
"2003-01-02",34,"Chivi",20.42
"2003-01-02",35,"Gutu",17.62
"2003-01-02",36,"Masvingo",19.5
"2003-01-02",37,"Mwenezi",23.15
"2003-01-02",38,"Zaka",21.01
"2003-01-02",39,"Binga",22.58
"2003-01-02",40,"Bubi",17.45
"2003-01-02",41,"Hwange",20.76
"2003-01-02",42,"Lupane",19.63
"2003-01-02",43,"Nkayi",18.1
"2003-01-02",44,"Tsholotsho",19.69
"2003-01-02",45,"Umguza",17.68
"2003-01-02",46,"Beitbridge",23.43
"2003-01-02",47,"Bulilima (North)",17.9
"2003-01-02",48,"Gwanda",19.89
"2003-01-02",49,"Insiza",16.62
"2003-01-02",50,"Mangwe (South)",18.02
"2003-01-02",51,"Matobo",18.05
"2003-01-02",52,"Umzingwane",16.03
"2003-01-02",53,"Chirumhanzu",16.22
"2003-01-02",54,"Gokwe North",22.62
"2003-01-02",55,"Gokwe South",20.43
"2003-01-02",56,"Gweru",16.19
"2003-01-02",57,"Kwekwe",17.98
"2003-01-02",58,"Mberengwa",19.36
"2003-01-02",59,"Shurugwi",16.22
"2003-01-02",60,"Zvishavane",17.96
"2003-01-03",1,"Bulawayo",16.92
"2003-01-03",2,"Harare",17.23
"2003-01-03",3,"Buhera",20.21
"2003-01-03",4,"Chimanimani",18.71
"2003-01-03",5,"Chipinge",21.33
"2003-01-03",6,"Makoni",17.73
"2003-01-03",7,"Mutare",19.46
"2003-01-03",8,"Mutasa",17.21
"2003-01-03",9,"Nyanga",18.82
"2003-01-03",10,"Bindura",18.9
"2003-01-03",11,"Centenary",21.46
"2003-01-03",12,"Guruve",21.65
"2003-01-03",13,"Mazowe",18.05
"2003-01-03",14,"Mount Darwin",21.31
"2003-01-03",15,"Rushinga",22.81
"2003-01-03",16,"Shamva",19.91
"2003-01-03",17,"Chikomba",16.97
"2003-01-03",18,"Goromonzi",17.49
"2003-01-03",19,"Marondera",16.71
"2003-01-03",20,"Mudzi",22.6
"2003-01-03",21,"Murehwa",17.98
"2003-01-03",22,"Mutoko",20.02
"2003-01-03",23,"Seke",17.46
"2003-01-03",24,"UMP",20.94
"2003-01-03",25,"Wedza",17.87
"2003-01-03",26,"Chegutu",18.77
"2003-01-03",27,"Hurungwe",21.74
"2003-01-03",28,"Kadoma",20.59
"2003-01-03",29,"Kariba",24.06
"2003-01-03",30,"Makonde",20.17
"2003-01-03",31,"Zvimba",18.61
"2003-01-03",32,"Bikita",20.54
"2003-01-03",33,"Chiredzi",22.89
"2003-01-03",34,"Chivi",19.08
"2003-01-03",35,"Gutu",17.59
"2003-01-03",36,"Masvingo",18.49
"2003-01-03",37,"Mwenezi",21.47
"2003-01-03",38,"Zaka",19.97
"2003-01-03",39,"Binga",22.85
"2003-01-03",40,"Bubi",18.36
"2003-01-03",41,"Hwange",21.48
"2003-01-03",42,"Lupane",20.75
"2003-01-03",43,"Nkayi",19.22
"2003-01-03",44,"Tsholotsho",20.99
