"ID_1","NAME_1","population_2010"
1,"Alabama",4750153
2,"Alaska",32132
3,"Alaska",488152
4,"Arizona",6586349
5,"Arkansas",2889038
6,"California",34418258
7,"Colorado",5029388
8,"Connecticut",3329429
9,"Delaware",680217
10,"District of Columbia",2154899
11,"Florida",16906995
12,"Georgia",9540338
13,"Hawaii",1147570
14,"Idaho",1555754
15,"Illinois",13162403
16,"Indiana",6397759
17,"Iowa",3110845
18,"Kansas",3317410
19,"Kentucky",4106955
20,"Louisiana",4493733
21,"Maine",1259755
22,"Maryland",5500257
23,"Massachusetts",6022888
24,"Michigan",9907075
25,"Minnesota",5242845
26,"Mississippi",2841970
27,"Missouri",5299971
28,"Montana",990312
29,"Nebraska",1725196
30,"Nevada",2724296
31,"New Hampshire",1324959
32,"New Jersey",7836736
33,"New Mexico",2041065
34,"New York",16306073
35,"North Carolina",9062412
36,"North Dakota",694993
37,"Ohio",12198815
38,"Oklahoma",3775944
39,"Oregon",3288696
40,"Pennsylvania",12003704
41,"Rhode Island",817860
42,"South Carolina",4775007
43,"South Dakota",814863
44,"Tennessee",6224088
45,"Texas",25190720
46,"Utah",2764107
47,"Vermont",674943
48,"Virginia",8327516
49,"Washington",5648259
50,"West Virginia",1766041
51,"Wisconsin",5751228
52,"Wyoming",559479
